"ID"	"trialType"	"language"	"profile"	"Mean"	"SD"	"LowerQ"	"UpperQ"	"Min"	"Max"	"N"	"NumTrials"	"item"
"1"	"cognatepriming10"	"unrelated"	"cat"	"bilingual"	66.551724137931	47.1911044795772	0	1	0	1	2880	12	"Target"
"2"	"cognatepriming10"	"noncognate"	"cat"	"bilingual"	44.7166921898928	49.7391292431053	0	1	0	1	1680	7	"Target"
"3"	"cognatepriming10"	"cognate"	"cat"	"bilingual"	74.374460742019	43.6752962906679	0	1	0	1	1440	6	"Target"
"4"	"cognatepriming11"	"unrelated"	"spa"	"bilingual"	66.3806158505805	47.2525399651264	0	1	0	1	2640	11	"Target"
"5"	"cognatepriming11"	"noncognate"	"spa"	"bilingual"	28.3687943262411	45.1015729798738	0	1	0	1	1200	5	"Target"
"6"	"cognatepriming11"	"cognate"	"spa"	"bilingual"	63.7848222862632	48.085338803808	0	1	0	1	1200	5	"Target"
"7"	"cognatepriming12"	"unrelated"	"spa"	"bilingual"	72.6104830421377	44.6070460625864	0	1	0	1	2400	10	"Target"
"8"	"cognatepriming12"	"noncognate"	"spa"	"bilingual"	70.752688172043	45.5143209376934	0	1	0	1	1200	5	"Target"
"9"	"cognatepriming12"	"cognate"	"spa"	"bilingual"	52.7027027027027	49.9606691667769	0	1	0	1	960	4	"Target"
"10"	"cognatepriming17"	"unrelated"	"cat"	"bilingual"	69.0177638453501	46.2541073240372	0	1	0	1	2400	10	"Target"
"11"	"cognatepriming17"	"noncognate"	"cat"	"bilingual"	53.8593481989708	49.8936405976053	0	1	0	1	720	3	"Target"
"12"	"cognatepriming17"	"cognate"	"cat"	"bilingual"	52.2950819672131	49.9882890266574	0	1	0	1	720	3	"Target"
"13"	"cognatepriming3"	"unrelated"	"spa"	"bilingual"	53.2706284737067	49.9035840806626	0	1	0	1	2880	12	"Target"
"14"	"cognatepriming3"	"noncognate"	"spa"	"bilingual"	67.7966101694915	46.7444565818565	0	1	0	1	1440	6	"Target"
"15"	"cognatepriming3"	"cognate"	"spa"	"bilingual"	43.6950146627566	49.6251392617331	0	1	0	1	1199	5	"Target"
"16"	"cognatepriming4"	"unrelated"	"cat"	"monolingual"	47.0734744707347	49.9453899405841	0	1	0	1	960	4	"Target"
"17"	"cognatepriming4"	"noncognate"	"cat"	"monolingual"	72.9591836734694	44.5308117743087	0	1	0	1	240	1	"Target"
"18"	"cognatepriming4"	"cognate"	"cat"	"monolingual"	62.5	48.538860126793	0	1	0	1	240	1	"Target"
"19"	"cognatepriming5"	"unrelated"	"spa"	"monolingual"	55.93147751606	49.657563604523	0	1	0	1	2638	11	"Target"
"20"	"cognatepriming5"	"noncognate"	"spa"	"monolingual"	67.8921568627451	46.7177205223277	0	1	0	1	1198	5	"Target"
"21"	"cognatepriming5"	"cognate"	"spa"	"monolingual"	72.0801658604008	44.8760294885336	0	1	0	1	1679	7	"Target"
"22"	"cognatepriming6"	"unrelated"	"cat"	"bilingual"	75.2623211446741	43.1556173721153	0	1	0	1	3599	15	"Target"
"23"	"cognatepriming6"	"noncognate"	"cat"	"bilingual"	71.2912087912088	45.2558403321996	0	1	0	1	1679	7	"Target"
"24"	"cognatepriming6"	"cognate"	"cat"	"bilingual"	58.8305489260143	49.2287252383597	0	1	0	1	1917	8	"Target"
"25"	"cognatepriming7"	"unrelated"	"cat"	"bilingual"	62.2945085694299	48.4733628733573	0	1	0	1	3354	14	"Target"
"26"	"cognatepriming7"	"noncognate"	"cat"	"bilingual"	70.6467661691542	45.5606902494463	0	1	0	1	1200	5	"Target"
"27"	"cognatepriming7"	"cognate"	"cat"	"bilingual"	92.3784494086728	26.5517123684662	0	1	0	1	1199	5	"Target"
"28"	"cognatepriming9"	"unrelated"	"cat"	"bilingual"	70.6969376979937	45.5272570768977	0	1	0	1	2398	10	"Target"
"29"	"cognatepriming9"	"noncognate"	"cat"	"bilingual"	47.1786833855799	49.9399110318891	0	1	0	1	1680	7	"Target"
"30"	"cognatepriming9"	"cognate"	"cat"	"bilingual"	58.8667366211962	49.2333672330875	0	1	0	1	1200	5	"Target"
"31"	"cognatepriming10"	"unrelated"	"cat"	"bilingual"	33.448275862069	47.1911044795772	0	1	0	1	2880	12	"Distractor"
"32"	"cognatepriming10"	"noncognate"	"cat"	"bilingual"	55.2833078101072	49.7391292431053	0	1	0	1	1680	7	"Distractor"
"33"	"cognatepriming10"	"cognate"	"cat"	"bilingual"	25.625539257981	43.6752962906679	0	1	0	1	1440	6	"Distractor"
"34"	"cognatepriming11"	"unrelated"	"spa"	"bilingual"	33.6193841494195	47.2525399651264	0	1	0	1	2640	11	"Distractor"
"35"	"cognatepriming11"	"noncognate"	"spa"	"bilingual"	71.6312056737589	45.1015729798738	0	1	0	1	1200	5	"Distractor"
"36"	"cognatepriming11"	"cognate"	"spa"	"bilingual"	36.2151777137368	48.085338803808	0	1	0	1	1200	5	"Distractor"
"37"	"cognatepriming12"	"unrelated"	"spa"	"bilingual"	27.3895169578623	44.6070460625864	0	1	0	1	2400	10	"Distractor"
"38"	"cognatepriming12"	"noncognate"	"spa"	"bilingual"	29.247311827957	45.5143209376934	0	1	0	1	1200	5	"Distractor"
"39"	"cognatepriming12"	"cognate"	"spa"	"bilingual"	47.2972972972973	49.9606691667769	0	1	0	1	960	4	"Distractor"
"40"	"cognatepriming17"	"unrelated"	"cat"	"bilingual"	30.98223615465	46.2541073240372	0	1	0	1	2400	10	"Distractor"
"41"	"cognatepriming17"	"noncognate"	"cat"	"bilingual"	46.1406518010292	49.8936405976052	0	1	0	1	720	3	"Distractor"
"42"	"cognatepriming17"	"cognate"	"cat"	"bilingual"	47.7049180327869	49.9882890266574	0	1	0	1	720	3	"Distractor"
"43"	"cognatepriming3"	"unrelated"	"spa"	"bilingual"	46.7293715262933	49.9035840806626	0	1	0	1	2880	12	"Distractor"
"44"	"cognatepriming3"	"noncognate"	"spa"	"bilingual"	32.2033898305085	46.7444565818565	0	1	0	1	1440	6	"Distractor"
"45"	"cognatepriming3"	"cognate"	"spa"	"bilingual"	56.3049853372434	49.6251392617331	0	1	0	1	1199	5	"Distractor"
"46"	"cognatepriming4"	"unrelated"	"cat"	"monolingual"	52.9265255292653	49.9453899405841	0	1	0	1	960	4	"Distractor"
"47"	"cognatepriming4"	"noncognate"	"cat"	"monolingual"	27.0408163265306	44.5308117743087	0	1	0	1	240	1	"Distractor"
"48"	"cognatepriming4"	"cognate"	"cat"	"monolingual"	37.5	48.538860126793	0	1	0	1	240	1	"Distractor"
"49"	"cognatepriming5"	"unrelated"	"spa"	"monolingual"	44.06852248394	49.657563604523	0	1	0	1	2638	11	"Distractor"
"50"	"cognatepriming5"	"noncognate"	"spa"	"monolingual"	32.1078431372549	46.7177205223277	0	1	0	1	1198	5	"Distractor"
"51"	"cognatepriming5"	"cognate"	"spa"	"monolingual"	27.9198341395992	44.8760294885336	0	1	0	1	1679	7	"Distractor"
"52"	"cognatepriming6"	"unrelated"	"cat"	"bilingual"	24.7376788553259	43.1556173721153	0	1	0	1	3599	15	"Distractor"
"53"	"cognatepriming6"	"noncognate"	"cat"	"bilingual"	28.7087912087912	45.2558403321996	0	1	0	1	1679	7	"Distractor"
"54"	"cognatepriming6"	"cognate"	"cat"	"bilingual"	41.1694510739857	49.2287252383597	0	1	0	1	1917	8	"Distractor"
