"ID"	"trialType"	"TimeBin"	"Language"	"Profile"	"TotalSamples"	"SamplesTarget"	"SamplesDistractor"	"AOI"	"ProbFix"	"Time"
"cognatepriming10"	"cognate"	1	"Catalan"	"Bilingual"	65	0	0	"Target"	0	100
"cognatepriming10"	"cognate"	1	"Catalan"	"Bilingual"	65	0	0	"Distractor"	0	100
"cognatepriming10"	"cognate"	2	"Catalan"	"Bilingual"	60	0	0	"Target"	0	200
"cognatepriming10"	"cognate"	2	"Catalan"	"Bilingual"	60	0	0	"Distractor"	0	200
"cognatepriming10"	"cognate"	3	"Catalan"	"Bilingual"	60	0	0	"Target"	0	300
"cognatepriming10"	"cognate"	3	"Catalan"	"Bilingual"	60	0	0	"Distractor"	0	300
"cognatepriming10"	"cognate"	4	"Catalan"	"Bilingual"	60	7	0	"Target"	0.116666666666667	400
"cognatepriming10"	"cognate"	4	"Catalan"	"Bilingual"	60	7	0	"Distractor"	0	400
"cognatepriming10"	"cognate"	5	"Catalan"	"Bilingual"	60	31	17	"Target"	0.516666666666667	500
"cognatepriming10"	"cognate"	5	"Catalan"	"Bilingual"	60	31	17	"Distractor"	0.283333333333333	500
"cognatepriming10"	"cognate"	6	"Catalan"	"Bilingual"	60	36	24	"Target"	0.6	600
"cognatepriming10"	"cognate"	6	"Catalan"	"Bilingual"	60	36	24	"Distractor"	0.4	600
"cognatepriming10"	"cognate"	7	"Catalan"	"Bilingual"	60	36	24	"Target"	0.6	700
"cognatepriming10"	"cognate"	7	"Catalan"	"Bilingual"	60	36	24	"Distractor"	0.4	700
"cognatepriming10"	"cognate"	8	"Catalan"	"Bilingual"	60	37	16	"Target"	0.616666666666667	800
"cognatepriming10"	"cognate"	8	"Catalan"	"Bilingual"	60	37	16	"Distractor"	0.266666666666667	800
"cognatepriming10"	"cognate"	9	"Catalan"	"Bilingual"	60	60	0	"Target"	1	900
"cognatepriming10"	"cognate"	9	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	900
"cognatepriming10"	"cognate"	10	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1000
"cognatepriming10"	"cognate"	10	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1000
"cognatepriming10"	"cognate"	11	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1100
"cognatepriming10"	"cognate"	11	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1100
"cognatepriming10"	"cognate"	12	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1200
"cognatepriming10"	"cognate"	12	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1200
"cognatepriming10"	"cognate"	13	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1300
"cognatepriming10"	"cognate"	13	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1300
"cognatepriming10"	"cognate"	14	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1400
"cognatepriming10"	"cognate"	14	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1400
"cognatepriming10"	"cognate"	15	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1500
"cognatepriming10"	"cognate"	15	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1500
"cognatepriming10"	"cognate"	16	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1600
"cognatepriming10"	"cognate"	16	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1600
"cognatepriming10"	"cognate"	17	"Catalan"	"Bilingual"	60	60	0	"Target"	1	1700
"cognatepriming10"	"cognate"	17	"Catalan"	"Bilingual"	60	60	0	"Distractor"	0	1700
"cognatepriming10"	"cognate"	18	"Catalan"	"Bilingual"	60	NA	NA	"Target"	NA	1800
"cognatepriming10"	"cognate"	18	"Catalan"	"Bilingual"	60	NA	NA	"Distractor"	NA	1800
"cognatepriming10"	"cognate"	19	"Catalan"	"Bilingual"	60	48	12	"Target"	0.8	1900
"cognatepriming10"	"cognate"	19	"Catalan"	"Bilingual"	60	48	12	"Distractor"	0.2	1900
"cognatepriming10"	"cognate"	20	"Catalan"	"Bilingual"	55	44	11	"Target"	0.8	2000
