"profile"	"language"	"ID"	"TimeBin"	"trialType"	"SamplesInAOI"	"SamplesTotal"	"Prop"	"Time"
"1"	"bilingual"	"cat"	"cognatepriming10"	0	"unrelated"	0	0	NA	0
"2"	"bilingual"	"cat"	"cognatepriming10"	0	"noncognate"	0	0	NA	0
"3"	"bilingual"	"cat"	"cognatepriming10"	0	"cognate"	0	0	NA	0
"4"	"bilingual"	"cat"	"cognatepriming10"	1	"unrelated"	0	0	NA	50
"5"	"bilingual"	"cat"	"cognatepriming10"	1	"noncognate"	0	0	NA	50
"6"	"bilingual"	"cat"	"cognatepriming10"	1	"cognate"	0	0	NA	50
"7"	"bilingual"	"cat"	"cognatepriming10"	2	"unrelated"	0	0	NA	100
"8"	"bilingual"	"cat"	"cognatepriming10"	2	"noncognate"	0	0	NA	100
"9"	"bilingual"	"cat"	"cognatepriming10"	2	"cognate"	0	0	NA	100
"10"	"bilingual"	"cat"	"cognatepriming10"	3	"unrelated"	0	0	NA	150
"11"	"bilingual"	"cat"	"cognatepriming10"	3	"noncognate"	0	0	NA	150
"12"	"bilingual"	"cat"	"cognatepriming10"	3	"cognate"	0	0	NA	150
"13"	"bilingual"	"cat"	"cognatepriming10"	4	"unrelated"	0	0	NA	200
"14"	"bilingual"	"cat"	"cognatepriming10"	4	"noncognate"	0	0	NA	200
"15"	"bilingual"	"cat"	"cognatepriming10"	4	"cognate"	0	0	NA	200
"16"	"bilingual"	"cat"	"cognatepriming10"	5	"unrelated"	7	8	87.5	250
"17"	"bilingual"	"cat"	"cognatepriming10"	5	"noncognate"	6	6	100	250
"18"	"bilingual"	"cat"	"cognatepriming10"	5	"cognate"	1	7	14.2857142857143	250
"19"	"bilingual"	"cat"	"cognatepriming10"	6	"unrelated"	16	23	69.5652173913043	300
"20"	"bilingual"	"cat"	"cognatepriming10"	6	"noncognate"	6	6	100	300
"21"	"bilingual"	"cat"	"cognatepriming10"	6	"cognate"	6	15	40	300
"22"	"bilingual"	"cat"	"cognatepriming10"	7	"unrelated"	22	48	45.8333333333333	350
"23"	"bilingual"	"cat"	"cognatepriming10"	7	"noncognate"	6	19	31.5789473684211	350
"24"	"bilingual"	"cat"	"cognatepriming10"	7	"cognate"	12	24	50	350
"25"	"bilingual"	"cat"	"cognatepriming10"	8	"unrelated"	30	65	46.1538461538462	400
"26"	"bilingual"	"cat"	"cognatepriming10"	8	"noncognate"	6	24	25	400
