SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,language,list,trialID,trial,trialType,phase,extra
107940616,0.492822111,0.532644331,1,0.494902998,0.517790377,1,3.297805786,1,0.490741253,0.547498286,1,3.26159668,1,1,spa,1,7,1,NA,prime,zapato
107940624,0.491187245,0.549067497,1,0.493084669,0.537121832,1,3.344818115,1,0.48928982,0.561013222,1,3.305038452,1,1,spa,1,7,1,NA,prime,zapato
107940632,0.496013999,0.52361089,1,0.495280355,0.532083333,1,3.338623047,1,0.496747673,0.515138447,1,3.193008423,1,1,spa,1,7,1,NA,prime,zapato
107940640,0.493618071,0.510621905,1,0.491747916,0.51394099,1,3.305847168,1,0.495488256,0.50730288,1,3.168273926,1,1,spa,1,7,1,NA,prime,zapato
107940648,0.492223322,0.54340446,1,0.494308501,0.53237325,1,3.34223938,1,0.490138143,0.55443573,1,3.29208374,1,1,spa,1,7,1,NA,prime,zapato
107940656,0.49453187,0.500241756,1,0.495867282,0.466646999,1,3.224258423,1,0.493196428,0.533836544,1,3.252593994,1,1,spa,1,7,1,NA,prime,zapato
107940664,0.492726266,0.528319478,1,0.494277298,0.52638489,1,3.348876953,1,0.491175205,0.530254006,1,3.245834351,1,1,spa,1,7,1,NA,prime,zapato
107940672,0.497605562,0.49648124,1,0.499493361,0.487808764,1,3.26071167,1,0.495717764,0.505153716,1,3.194595337,1,1,spa,1,7,1,NA,prime,zapato
107940680,0.492581487,0.551805913,1,0.496296197,0.537089944,1,3.417373657,1,0.488866746,0.566521883,1,3.342590332,1,1,spa,1,7,1,NA,prime,zapato
107940688,0.49446854,0.520386398,1,0.497859329,0.510520041,1,3.352416992,1,0.491077751,0.530252755,1,3.264678955,1,1,spa,1,7,1,NA,prime,zapato
107940704,0.495812893,0.542011261,1,0.497246683,0.539763272,1,3.37399292,1,0.494379103,0.54425925,1,3.293411255,1,1,spa,1,7,1,NA,prime,zapato
107940712,0.489991695,0.539834797,1,0.491728455,0.524402142,1,3.395324707,1,0.488254935,0.555267453,1,3.335388184,1,1,spa,1,7,1,NA,prime,zapato
107940720,0.491823077,0.517931819,1,0.493518978,0.520823658,1,3.36517334,1,0.490127206,0.51503998,1,3.24786377,1,1,spa,1,7,1,NA,prime,zapato
107940728,0.489067286,0.529594183,1,0.489142656,0.515698969,1,3.359329224,1,0.488991916,0.543489456,1,3.290542603,1,1,spa,1,7,1,NA,prime,zapato
107940736,0.493723929,0.531636477,1,0.490868837,0.522619963,1,3.371826172,1,0.496579051,0.540652931,1,3.289077759,1,1,spa,1,7,1,NA,prime,zapato
107940744,0.493187428,0.529782176,1,0.493002385,0.510057569,1,3.344863892,1,0.49337247,0.549506843,1,3.323242188,1,1,spa,1,7,1,NA,prime,zapato
107940752,0.492750406,0.50767374,1,0.489558429,0.490002275,1,3.282424927,1,0.495942384,0.525345206,1,3.317321777,1,1,spa,1,7,1,NA,prime,zapato
107940760,0.493632853,0.518997312,1,0.492840886,0.507626295,1,3.360702515,1,0.49442479,0.530368388,1,3.37600708,1,1,spa,1,7,1,NA,prime,zapato
107940768,0.493193388,0.519924641,1,0.49148795,0.51303184,1,3.365158081,1,0.494898826,0.526817441,1,3.355453491,1,1,spa,1,7,1,NA,prime,zapato
107940776,0.497882545,0.465894639,1,0.493564755,0.453966618,1,3.234527588,1,0.502200305,0.477822632,1,3.245101929,1,1,spa,1,7,1,NA,prime,zapato
107940784,0.491767764,0.532920599,1,0.495056242,0.516658485,1,3.389968872,1,0.488479316,0.549182713,1,3.387512207,1,1,spa,1,7,1,NA,prime,zapato
107940792,0.493035674,0.520570993,1,0.493813187,0.525451541,1,3.398971558,1,0.492258161,0.515690386,1,3.318847656,1,1,spa,1,7,1,NA,prime,zapato
107940800,0.490894496,0.537610292,1,0.493010312,0.532460451,1,3.414916992,1,0.488778681,0.542760193,1,3.411804199,1,1,spa,1,7,1,NA,prime,zapato
107940808,0.490994424,0.520273924,1,0.490953773,0.538079798,1,3.448486328,1,0.491035074,0.502468109,1,3.280715942,1,1,spa,1,7,1,NA,prime,zapato
107940816,0.492661297,0.532768607,1,0.493172169,0.531763315,1,3.444442749,1,0.492150426,0.533773899,1,3.383010864,1,1,spa,1,7,1,NA,prime,zapato
107940824,0.496074736,0.459764361,1,0.492467552,0.46894303,1,3.298690796,1,0.49968195,0.450585723,1,3.169403076,1,1,spa,1,7,1,NA,prime,zapato
107940832,0.500662506,0.498555303,1,0.496319622,0.533778608,1,3.458511353,1,0.50500536,0.463331968,1,3.165771484,1,1,spa,1,7,1,NA,prime,zapato
107940840,0.493014723,0.521124661,1,0.490074098,0.515951395,1,3.398666382,1,0.495955348,0.526297927,1,3.305114746,1,1,spa,1,7,1,NA,prime,zapato
107940848,0.490063906,0.542319059,1,0.489939362,0.527862966,1,3.417160034,1,0.49018845,0.556775153,1,3.373733521,1,1,spa,1,7,1,NA,prime,zapato
107940856,0.493012547,0.527583778,1,0.491608918,0.53004396,1,3.452529907,1,0.494416177,0.525123596,1,3.255462646,1,1,spa,1,7,1,NA,prime,zapato
107940864,0.493201643,0.541271746,1,0.494284451,0.535956442,1,3.453720093,1,0.492118835,0.54658705,1,3.301895142,1,1,spa,1,7,1,NA,prime,zapato
107940872,0.493173718,0.527643502,1,0.492791712,0.510152161,1,3.424484253,1,0.493555725,0.545134842,1,3.317749023,1,1,spa,1,7,1,NA,prime,zapato
107940880,0.493382484,0.518829465,1,0.491649032,0.537573934,1,3.467910767,1,0.495115936,0.500085056,1,3.263656616,1,1,spa,1,7,1,NA,prime,zapato
107940888,0.490898758,0.50708437,1,0.486454964,0.508158147,1,3.415359497,1,0.495342553,0.506010652,1,3.277481079,1,1,spa,1,7,1,NA,prime,zapato
107940896,0.494724184,0.513835073,1,0.491105735,0.542746663,1,3.499649048,1,0.498342633,0.484923512,1,3.28894043,1,1,spa,1,7,1,NA,prime,zapato
107940904,0.492043018,0.516840458,1,0.494968653,0.553878129,1,3.519943237,1,0.489117354,0.479802817,1,3.271453857,1,1,spa,1,7,1,NA,prime,zapato
107940912,0.494940579,0.528199077,1,0.493770838,0.54795444,1,3.514816284,1,0.49611029,0.508443713,1,3.354537964,1,1,spa,1,7,1,NA,prime,zapato
107940920,0.495535851,0.524739027,1,0.497692436,0.544383764,1,3.522842407,1,0.493379295,0.50509423,1,3.365936279,1,1,spa,1,7,1,NA,prime,zapato
107940928,0.498646617,0.505455732,1,0.500466108,0.515886366,1,3.453765869,1,0.496827155,0.495025128,1,3.346328735,1,1,spa,1,7,1,NA,prime,zapato
107940936,0.495935142,0.51421833,1,0.493790209,0.524799109,1,3.483917236,1,0.498080045,0.503637493,1,3.303405762,1,1,spa,1,7,1,NA,prime,zapato
107940944,0.493882418,0.499838233,1,0.493639499,0.526570737,1,3.498291016,1,0.494125307,0.473105729,1,3.292831421,1,1,spa,1,7,1,NA,prime,zapato
107940952,0.492225766,0.543123245,1,0.490885049,0.516345322,1,3.455276489,1,0.493566453,0.569901109,1,3.442581177,1,1,spa,1,7,1,NA,prime,zapato
107940960,0.490641266,0.533625603,1,0.491144091,0.527862191,1,3.49508667,1,0.490138441,0.539389074,1,3.43637085,1,1,spa,1,7,1,NA,prime,zapato
107940968,0.49187234,0.481206506,1,0.491906255,0.457631588,1,3.353240967,1,0.491838425,0.504781425,1,3.358459473,1,1,spa,1,7,1,NA,prime,zapato
107940976,0.49495253,0.494901478,1,0.492746413,0.512526989,1,3.477203369,1,0.497158647,0.477275997,1,3.294967651,1,1,spa,1,7,1,NA,prime,zapato
107940984,0.488399953,0.518464863,1,0.484829873,0.485012025,1,3.412475586,1,0.491970032,0.551917672,1,3.437301636,1,1,spa,1,7,1,NA,prime,zapato
107940992,0.48225385,0.541491687,1,0.4782781,0.51201731,1,3.492080688,1,0.486229628,0.570966065,1,3.462249756,1,1,spa,1,7,1,NA,prime,zapato
107941000,0.485144496,0.517509937,1,0.481425643,0.494933307,1,3.497512817,1,0.488863319,0.540086627,1,3.416442871,1,1,spa,1,7,1,NA,prime,zapato
107941008,0.483776122,0.477035642,1,0.484135509,0.426397353,1,3.369522095,1,0.483416736,0.52767396,1,3.364776611,1,1,spa,1,7,1,NA,prime,zapato
107941016,0.482802838,0.483517587,1,0.483538598,0.414901823,1,3.325836182,1,0.482067078,0.552133322,1,3.397796631,1,1,spa,1,7,1,NA,prime,zapato
107941040,0.48439002,0.454999685,1,0.480554551,0.46850577,1,3.460769653,1,0.48822549,0.44149363,1,3.241500854,1,1,spa,1,7,1,NA,prime,zapato
107941048,0.482775301,0.518747211,1,0.486339062,0.475439519,1,3.477249146,1,0.479211539,0.562054932,1,3.410110474,1,1,spa,1,7,1,NA,prime,zapato
107941056,0.49005264,0.47435838,1,0.484947503,0.482455313,1,3.503250122,1,0.495157778,0.466261476,1,3.370666504,1,1,spa,1,7,1,NA,prime,zapato
107941064,0.483415842,0.532730937,1,0.483590007,0.504392445,1,3.542892456,1,0.483241647,0.561069489,1,3.447967529,1,1,spa,1,7,1,NA,prime,zapato
