SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,baby_id,dataBirth,sex,testDate,language,list,trialID,trial,trialType,getter,phase,stimulus,locationTarget
602453312,0.487514824,0.402950048,1,0.483111173,0.416754693,1,3.327774048,1,0.491918474,0.389145434,1,3.004379272,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453312,0.489953399,0.406063139,1,0.490226865,0.43635574,1,3.341262817,1,0.489679933,0.375770569,1,2.95489502,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453312,0.49077487,0.390136212,1,0.48296532,0.396007836,1,3.287353516,1,0.498584419,0.384264588,1,2.998825073,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.497326255,0.322374344,1,0.497889131,0.261213183,1,3.01008606,1,0.496763378,0.383535534,1,2.966888428,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.484196812,0.406061769,1,0.481202215,0.428109527,1,3.381469727,1,0.487191409,0.384013981,1,2.994827271,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.485908151,0.431355119,1,0.480991304,0.461317152,1,3.415649414,1,0.490824997,0.401393116,1,2.989349365,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.492124677,0.388926566,1,0.486902297,0.375686318,1,3.272567749,1,0.497347057,0.402166784,1,3.012405396,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.490372658,0.347496957,1,0.48955223,0.303288281,1,3.106292725,1,0.491193116,0.391705632,1,3.003356934,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.489509851,0.362114787,1,0.483889371,0.343502253,1,3.200164795,1,0.49513033,0.380727351,1,3.004241943,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.484895468,0.400076777,1,0.48100099,0.370730281,1,3.266418457,1,0.488789976,0.429423273,1,3.070602417,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453376,0.482639492,0.452379644,1,0.480696768,0.488871247,1,3.48097229,1,0.484582216,0.415888071,1,3.055374146,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453440,0.486070156,0.375555187,1,0.483220994,0.389979303,1,3.29258728,1,0.488919348,0.361131072,1,2.927032471,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453440,0.488236964,0.350116044,1,0.487665802,0.340953499,1,3.206542969,1,0.488808125,0.359278589,1,2.927688599,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453440,0.487131894,0.389425963,1,0.480701387,0.414550036,1,3.353149414,1,0.493562371,0.36430189,1,2.941207886,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453440,0.49023512,0.382315755,1,0.492145061,0.373894989,1,3.253067017,1,0.488325179,0.39073655,1,2.976730347,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453440,0.487494648,0.380683184,1,0.485244572,0.382398188,1,3.288848877,1,0.489744723,0.378968179,1,2.985549927,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453440,0.486310363,0.396987706,1,0.481856704,0.356261134,1,3.253738403,1,0.490764022,0.437714279,1,3.075393677,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
602453440,0.487849414,0.382227689,1,0.4759624,0.368010998,1,3.271209717,1,0.499736428,0.39644438,1,3.01713562,1,4,51273,23/02/2017,female,2019-06-19_15-57,cat,2,8,1,2,7,prime,cadira,NA
