SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
1.495963e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495963e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495963e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495963e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495963e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495963e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495963e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495964e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495964e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
1.495964e+11,NaN,NaN,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,008,2017-05-14,m,2019-09-21_11-16,spa,1,1,12,cognate,4,baseline,mesa,center
