SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
2.896835e+11,0.5113974,0.4776488,1,0.5114614,0.5195962,1,3.526627,1,0.5113334,0.4357014,1,3.267136,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5057386,0.4764205,1,0.502877,0.503988,1,3.559311,1,0.5086001,0.448853,1,3.260178,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5130301,0.4765516,1,0.5094449,0.534452,1,3.662186,1,0.5166152,0.4186512,1,3.269699,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5130212,0.4742156,1,0.5076631,0.4890454,1,3.61972,1,0.5183792,0.4593858,1,3.384964,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5049606,0.4572421,1,0.4999583,0.4570891,1,3.616074,1,0.5099629,0.4573952,1,3.249954,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5126486,0.4831048,1,0.5046313,0.485899,1,3.536575,1,0.5206659,0.4803106,1,3.359268,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5081092,0.4636483,1,0.4974951,0.4506901,1,3.499466,1,0.5187232,0.4766066,1,3.353027,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5115454,0.4832293,1,0.4995698,0.4887986,1,3.593369,1,0.5235209,0.4776599,1,3.350937,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5147572,0.4662361,1,0.5112545,0.4907136,1,3.553406,1,0.5182598,0.4417587,1,3.322937,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5204772,0.4458216,1,0.5169043,0.470043,1,3.549728,1,0.52405,0.4216003,1,3.249359,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5095829,0.5000044,1,0.5036731,0.5109468,1,3.632309,1,0.5154927,0.4890621,1,3.383118,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5136344,0.5018635,1,0.5143284,0.5304384,1,3.583435,1,0.5129405,0.4732887,1,3.354752,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896836e+11,0.5037667,0.4857531,1,0.4991962,0.4518496,1,3.530991,1,0.5083373,0.5196567,1,3.491302,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5137578,0.430615,1,0.5160615,0.4329504,1,3.340912,1,0.5114542,0.4282797,1,3.229645,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5126116,0.4898989,1,0.5049582,0.5086065,1,3.578278,1,0.520265,0.4711914,1,3.340958,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5138493,0.4984961,1,0.5100401,0.5399802,1,3.613144,1,0.5176585,0.4570119,1,3.27597,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5136776,0.4779605,1,0.5031447,0.4647341,1,3.462433,1,0.5242104,0.4911869,1,3.309189,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5094963,0.5240834,1,0.5120538,0.5092269,1,3.587433,1,0.5069389,0.5389398,1,3.472137,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5118577,0.4796878,1,0.508112,0.4912713,1,3.581177,1,0.5156035,0.4681043,1,3.314545,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5156127,0.5328517,1,0.5117154,0.5373485,1,3.648926,1,0.5195099,0.5283549,1,3.441971,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5082578,0.4818463,1,0.4978753,0.5085109,1,3.557678,1,0.5186403,0.4551817,1,3.193909,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5025104,0.4788749,1,0.4872258,0.5020384,1,3.651016,1,0.5177951,0.4557114,1,3.226242,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5101746,0.4856166,1,0.4949445,0.5286149,1,3.600967,1,0.5254047,0.4426182,1,3.272675,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896837e+11,0.5173365,0.4926736,1,0.5154544,0.5371526,1,3.643509,1,0.5192187,0.4481947,1,3.237106,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.50254,0.4712638,1,0.4927494,0.471043,1,3.596069,1,0.5123305,0.4714845,1,3.276337,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5080093,0.4824653,1,0.4908475,0.5069285,1,3.782318,1,0.5251712,0.4580021,1,3.291534,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5074325,0.4578375,1,0.5064114,0.4777985,1,3.556122,1,0.5084537,0.4378765,1,3.185242,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5046302,0.4790785,1,0.4974631,0.5402615,1,3.586227,1,0.5117974,0.4178956,1,3.199402,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.513005,0.4605702,1,0.5058573,0.494536,1,3.657501,1,0.5201527,0.4266044,1,3.17308,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5124956,0.4636315,1,0.5105074,0.523212,1,3.556702,1,0.5144839,0.4040511,1,3.177765,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5157078,0.4938576,1,0.5201313,0.5158296,1,3.582245,1,0.5112842,0.4718856,1,3.386154,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5186232,0.4678986,1,0.5156294,0.5144665,1,3.663284,1,0.5216172,0.4213306,1,3.169083,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5140705,0.4920222,1,0.5168564,0.5493823,1,3.587143,1,0.5112845,0.4346621,1,3.237289,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5039862,0.4795732,1,0.4946778,0.491119,1,3.562668,1,0.5132945,0.4680274,1,3.441254,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5164933,0.453023,1,0.5186299,0.5093655,1,3.605209,1,0.5143566,0.3966806,1,3.294174,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896838e+11,0.5119231,0.4703093,1,0.5086074,0.5287404,1,3.560074,1,0.5152388,0.4118781,1,3.222168,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.516672,0.5033525,1,0.5140137,0.533083,1,3.608109,1,0.5193303,0.473622,1,3.410522,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5125402,0.5192683,1,0.5079427,0.5430728,1,3.556931,1,0.5171377,0.4954638,1,3.346588,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5053575,0.4794886,1,0.4977304,0.5031651,1,3.569366,1,0.5129846,0.455812,1,3.240082,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5117453,0.4887068,1,0.5152616,0.5153475,1,3.588287,1,0.508229,0.4620661,1,3.207703,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5186172,0.5024356,1,0.5153224,0.5155472,1,3.531433,1,0.521912,0.4893239,1,3.306717,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5154062,0.4558586,1,0.5132436,0.4530356,1,3.761429,1,0.5175688,0.4586817,1,3.270935,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.512585,0.5198475,1,0.5014911,0.5346716,1,3.749222,1,0.5236789,0.5050234,1,3.388031,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.519258,0.4802326,1,0.5179433,0.5265155,1,3.584518,1,0.5205726,0.4339497,1,3.304153,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5151534,0.5201957,1,0.511965,0.5354395,1,3.645035,1,0.5183417,0.5049518,1,3.346039,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5140896,0.4827981,1,0.5087575,0.5238371,1,3.667618,1,0.5194218,0.441759,1,3.233307,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5151137,0.4864512,1,0.5238435,0.5330936,1,3.639572,1,0.5063839,0.4398089,1,3.226395,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896839e+11,0.5235384,0.4799025,1,0.5265322,0.5038807,1,3.80368,1,0.5205445,0.4559243,1,3.33429,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5144649,0.5053027,1,0.5048711,0.5214247,1,3.560028,1,0.5240588,0.4891807,1,3.331787,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5182102,0.4696029,1,0.5214939,0.50546,1,3.632721,1,0.5149264,0.4337458,1,3.248764,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5209548,0.4716772,1,0.5152907,0.4705701,1,3.532272,1,0.5266189,0.4727842,1,3.482269,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5210885,0.5133413,1,0.5233682,0.5392855,1,3.638107,1,0.5188088,0.4873971,1,3.362823,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5128763,0.49464,1,0.5221564,0.5180727,1,3.548676,1,0.5035962,0.4712072,1,3.336319,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5104791,0.482924,1,0.5143133,0.4668348,1,3.544998,1,0.5066448,0.4990132,1,3.398041,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5107239,0.3908707,1,0.5123041,0.4027946,1,3.438492,1,0.5091437,0.3789468,1,3.287521,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.5003142,0.3763253,1,0.5026809,0.3635796,1,3.406113,1,0.4979475,0.3890711,1,3.294495,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.4904491,0.3773363,1,0.4844587,0.373398,1,3.463852,1,0.4964396,0.3812745,1,3.365158,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.4971192,0.3614346,1,0.4918273,0.3965488,1,3.611053,1,0.5024111,0.3263204,1,3.327469,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.4884615,0.3415521,1,0.4861576,0.3325864,1,3.420135,1,0.4907654,0.3505178,1,3.284363,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.89684e+11,0.4897814,0.3431945,1,0.4791601,0.3465571,1,3.417953,1,0.5004027,0.3398318,1,3.329742,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896841e+11,0.4994968,0.3412352,1,0.4970555,0.3255527,1,3.467834,1,0.501938,0.3569176,1,3.308502,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896841e+11,0.5005827,0.3314753,1,0.5037312,0.3305006,1,3.455597,1,0.4974341,0.33245,1,3.244141,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896841e+11,0.495334,0.3544625,1,0.4952154,0.3576819,1,3.453308,1,0.4954526,0.351243,1,3.299561,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896841e+11,0.4955103,0.3405418,1,0.4925662,0.3183106,1,3.376526,1,0.4984545,0.3627732,1,3.380737,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896841e+11,0.4859327,0.3490754,1,0.4831615,0.3441071,1,3.363281,1,0.4887038,0.3540438,1,3.226669,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
2.896841e+11,0.4948826,0.3464932,1,0.4930801,0.3457553,1,3.361969,1,0.4966852,0.347231,1,3.271133,1,012,2017-05-01,m,2019-10-01_17-09,spa,2,1,5,cognate,4,baseline,coche,center
