"word","test_language","frequency"
"aigua","Catalan",5.050771575082721
"aixeta","Catalan",3.0379343503775487
"amanida","Catalan",3.8830323903918056
"ampolla","Catalan",3.5150556050972113
"arbre","Catalan",4.360153645111468
"barco","Catalan",3.7369043547135674
"barret","Catalan",4.184062386055787
"bici","Catalan",4.242054333033474
"boca","Catalan",4.639994341705512
"bolet","Catalan",3.5150556050972113
"burro","Catalan",3.9410243373694924
"caballo","Catalan",3.0379343503775487
"cadira","Catalan",4.316687951330378
"caixa","Catalan",3.639994341705511
"cama","Catalan",3.992176859816874
"casa","Catalan",4.883032390391806
"claus","Catalan",3.639994341705511
"corona","Catalan",3.639994341705511
"cotxe","Catalan",5.011062203977247
"cuc","Catalan",4.268383271755823
"finestra","Catalan",3.639994341705511
"flor","Catalan",3.639994341705511
"formatge","Catalan",3.639994341705511
"formiga","Catalan",3.0379343503775487
"forquilla","Catalan",3.639994341705511
"fulla","Catalan",3.639994341705511
"galeta","Catalan",3.33896434604153
"galleda","Catalan",3.0379343503775487
"gallina","Catalan",3.992176859816874
"gat","Catalan",4.242054333033474
"globus","Catalan",3.9410243373694924
"gorro","Catalan",3.992176859816874
"gos","Catalan",4.786122377383749
"got","Catalan",4.184062386055787
"granota","Catalan",3.33896434604153
"lapiz","Catalan",3.5150556050972113
"leche","Catalan",3.639994341705511
"mico","Catalan",3.33896434604153
"mirall","Catalan",3.5150556050972113
"moto","Catalan",3.8160856007611925
"mouse","Catalan",3.639994341705511
"mussol","Catalan",3.5150556050972113
"ocell","Catalan",3.9410243373694924
"orella","Catalan",3.7369043547135674
"osito","Catalan",3.0379343503775487
"osset","Catalan",4.184062386055787
"ovella","Catalan",3.0379343503775487
"pa","Catalan",4.691146864152892
"pantalon","Catalan",3.0379343503775487
"papallona","Catalan",3.639994341705511
"patata","Catalan",3.992176859816874
"pato","Catalan",3.5150556050972113
"peix","Catalan",4.594236851144836
"pelota","Catalan",3.33896434604153
"pernil","Catalan",3.7369043547135674
"pilota","Catalan",4.830326039875803
"poma","Catalan",4.469298114536536
"porta","Catalan",4.786122377383749
"tambor","Catalan",3.33896434604153
"tele","Catalan",4.316687951330378
"tigre","Catalan",4.151877702684386
"toro","Catalan",3.33896434604153
"tren","Catalan",4.184062386055787
"ull","Catalan",3.5150556050972113
"ulleres","Catalan",3.33896434604153
"vaca","Catalan",4.399662186395142
"vaixell","Catalan",3.0379343503775487
"ã³la","Spanish",2.3393124484927466
"abã©lla","Spanish",2.3393124484927466
"abuela","Spanish",2.640342444156728
"abuelo","Spanish",2.3393124484927466
"ahora","Spanish",3.3393124484927466
"ampolla","Spanish",2.640342444156728
"arbre","Spanish",2.816433703212409
"baã±o","Spanish",2.816433703212409
"ball","Spanish",3.2424024354846903
"bãºho","Spanish",3.9625617388906473
"barco","Spanish",5.212051275965415
"benjamã³n","Spanish",2.3393124484927466
"bici","Spanish",4.1027404420556834
