SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,language,list,numtrial_lista,trial,process,extra
107940616,0.4928221106529,0.5326443314552,1,0.494902998209,0.51779037714,1,3.297805786133,1,0.4907412528992,0.5474982857704,1,3.261596679688,1,spa,1,7,1,PRIMEIMAGE,zapato
107940624,0.4911872446537,0.5490674972534,1,0.4930846691132,0.5371218323708,1,3.344818115234,1,0.4892898201942,0.5610132217407,1,3.305038452148,1,spa,1,7,1,PRIMEIMAGE,zapato
107940632,0.4960139989853,0.5236108899117,1,0.4952803552151,0.5320833325386,1,3.338623046875,1,0.4967476725578,0.5151384472847,1,3.193008422852,1,spa,1,7,1,PRIMEIMAGE,zapato
107940640,0.4936180710793,0.5106219053268,1,0.4917479157448,0.5139409899712,1,3.305847167969,1,0.495488256216,0.5073028802872,1,3.168273925781,1,spa,1,7,1,PRIMEIMAGE,zapato
107940648,0.4922233223915,0.5434044599533,1,0.494308501482,0.5323732495308,1,3.342239379883,1,0.490138143301,0.5544357299805,1,3.292083740234,1,spa,1,7,1,PRIMEIMAGE,zapato
107940656,0.4945318698883,0.5002417564392,1,0.4958672821522,0.4666469991207,1,3.224258422852,1,0.4931964278221,0.53383654356,1,3.252593994141,1,spa,1,7,1,PRIMEIMAGE,zapato
107940664,0.4927262663841,0.528319478035,1,0.4942772984505,0.5263848900795,1,3.348876953125,1,0.4911752045155,0.5302540063858,1,3.245834350586,1,spa,1,7,1,PRIMEIMAGE,zapato
107940672,0.4976055622101,0.4964812397957,1,0.4994933605194,0.4878087639809,1,3.260711669922,1,0.4957177639008,0.5051537156105,1,3.194595336914,1,spa,1,7,1,PRIMEIMAGE,zapato
107940680,0.492581486702,0.5518059134483,1,0.496296197176,0.5370899438858,1,3.417373657227,1,0.4888667464256,0.5665218830109,1,3.342590332031,1,spa,1,7,1,PRIMEIMAGE,zapato
107940688,0.4944685399532,0.5203863978386,1,0.4978593289852,0.5105200409889,1,3.352416992188,1,0.4910777509212,0.5302527546883,1,3.264678955078,1,spa,1,7,1,PRIMEIMAGE,zapato
107940704,0.4958128929138,0.5420112609863,1,0.4972466826439,0.5397632718086,1,3.373992919922,1,0.4943791031837,0.544259250164,1,3.293411254883,1,spa,1,7,1,PRIMEIMAGE,zapato
107940712,0.4899916946888,0.5398347973824,1,0.4917284548283,0.524402141571,1,3.395324707031,1,0.4882549345493,0.5552674531937,1,3.335388183594,1,spa,1,7,1,PRIMEIMAGE,zapato
107940720,0.4918230772018,0.5179318189621,1,0.4935189783573,0.5208236575127,1,3.365173339844,1,0.4901272058487,0.5150399804115,1,3.247863769531,1,spa,1,7,1,PRIMEIMAGE,zapato
107940728,0.489067286253,0.5295941829681,1,0.4891426563263,0.5156989693642,1,3.359329223633,1,0.4889919161797,0.5434894561768,1,3.290542602539,1,spa,1,7,1,PRIMEIMAGE,zapato
107940736,0.4937239289284,0.5316364765167,1,0.4908688366413,0.5226199626923,1,3.371826171875,1,0.4965790510178,0.5406529307365,1,3.289077758789,1,spa,1,7,1,PRIMEIMAGE,zapato
107940744,0.4931874275208,0.5297821760178,1,0.493002384901,0.5100575685501,1,3.344863891602,1,0.4933724701405,0.5495068430901,1,3.3232421875,1,spa,1,7,1,PRIMEIMAGE,zapato
107940752,0.4927504062653,0.507673740387,1,0.4895584285259,0.4900022745132,1,3.282424926758,1,0.4959423840046,0.5253452062607,1,3.317321777344,1,spa,1,7,1,PRIMEIMAGE,zapato
107940760,0.4936328530312,0.5189973115921,1,0.492840886116,0.5076262950897,1,3.360702514648,1,0.494424790144,0.5303683876991,1,3.376007080078,1,spa,1,7,1,PRIMEIMAGE,zapato
107940768,0.4931933879852,0.5199246406555,1,0.4914879500866,0.5130318403244,1,3.365158081055,1,0.4948988258839,0.5268174409866,1,3.355453491211,1,spa,1,7,1,PRIMEIMAGE,zapato
107940776,0.4978825449944,0.465894639492,1,0.4935647547245,0.4539666175842,1,3.234527587891,1,0.5022003054619,0.4778226315975,1,3.245101928711,1,spa,1,7,1,PRIMEIMAGE,zapato
107940784,0.4917677640915,0.5329205989838,1,0.4950562417507,0.5166584849358,1,3.38996887207,1,0.4884793162346,0.5491827130318,1,3.387512207031,1,spa,1,7,1,PRIMEIMAGE,zapato
107940792,0.4930356740952,0.5205709934235,1,0.4938131868839,0.525451540947,1,3.398971557617,1,0.4922581613064,0.5156903862953,1,3.31884765625,1,spa,1,7,1,PRIMEIMAGE,zapato
107940800,0.4908944964409,0.5376102924347,1,0.4930103123188,0.5324604511261,1,3.414916992188,1,0.488778680563,0.5427601933479,1,3.411804199219,1,spa,1,7,1,PRIMEIMAGE,zapato
107940808,0.4909944236279,0.5202739238739,1,0.4909537732601,0.5380797982216,1,3.448486328125,1,0.4910350739956,0.5024681091309,1,3.280715942383,1,spa,1,7,1,PRIMEIMAGE,zapato
107940816,0.4926612973213,0.5327686071396,1,0.4931721687317,0.5317633152008,1,3.444442749023,1,0.4921504259109,0.5337738990784,1,3.383010864258,1,spa,1,7,1,PRIMEIMAGE,zapato
107940824,0.4960747361183,0.4597643613815,1,0.4924675524235,0.4689430296421,1,3.298690795898,1,0.4996819496155,0.4505857229233,1,3.169403076172,1,spa,1,7,1,PRIMEIMAGE,zapato
107940832,0.5006625056267,0.4985553026199,1,0.4963196218014,0.5337786078453,1,3.458511352539,1,0.5050053596497,0.4633319675922,1,3.165771484375,1,spa,1,7,1,PRIMEIMAGE,zapato
107940840,0.4930147230625,0.5211246609688,1,0.4900740981102,0.5159513950348,1,3.398666381836,1,0.4959553480148,0.5262979269028,1,3.305114746094,1,spa,1,7,1,PRIMEIMAGE,zapato
107940848,0.4900639057159,0.5423190593719,1,0.4899393618107,0.5278629660606,1,3.41716003418,1,0.4901884496212,0.5567751526833,1,3.373733520508,1,spa,1,7,1,PRIMEIMAGE,zapato
107940856,0.493012547493,0.5275837779045,1,0.4916089177132,0.5300439596176,1,3.452529907227,1,0.4944161772728,0.5251235961914,1,3.255462646484,1,spa,1,7,1,PRIMEIMAGE,zapato
107940864,0.4932016432285,0.5412717461586,1,0.4942844510078,0.5359564423561,1,3.453720092773,1,0.4921188354492,0.5465870499611,1,3.301895141602,1,spa,1,7,1,PRIMEIMAGE,zapato
107940872,0.4931737184525,0.5276435017586,1,0.4927917122841,0.5101521611214,1,3.42448425293,1,0.4935557246208,0.5451348423958,1,3.317749023438,1,spa,1,7,1,PRIMEIMAGE,zapato
107940880,0.4933824837208,0.5188294649124,1,0.4916490316391,0.5375739336014,1,3.467910766602,1,0.4951159358025,0.5000850558281,1,3.263656616211,1,spa,1,7,1,PRIMEIMAGE,zapato
107940888,0.490898758173,0.5070843696594,1,0.4864549636841,0.5081581473351,1,3.41535949707,1,0.4953425526619,0.5060106515884,1,3.277481079102,1,spa,1,7,1,PRIMEIMAGE,zapato
107940896,0.4947241842747,0.5138350725174,1,0.491105735302,0.5427466630936,1,3.499649047852,1,0.4983426332474,0.4849235117435,1,3.288940429688,1,spa,1,7,1,PRIMEIMAGE,zapato
107940904,0.4920430183411,0.5168404579163,1,0.4949686527252,0.5538781285286,1,3.519943237305,1,0.4891173541546,0.4798028171062,1,3.271453857422,1,spa,1,7,1,PRIMEIMAGE,zapato
