SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
4.691026e+10,0.4925214,0.481225,1,0.4989885,0.4783633,1,3.288513,1,0.4860542,0.4840867,1,3.213913,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691027e+10,0.4920158,0.4736186,1,0.4992995,0.4691906,1,3.273727,1,0.4847321,0.4780466,1,3.206497,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691028e+10,0.4936776,0.4693396,1,0.5000703,0.4625512,1,3.250824,1,0.4872849,0.4761281,1,3.208679,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691029e+10,0.4924325,0.4735283,1,0.4990588,0.472226,1,3.273285,1,0.4858063,0.4748306,1,3.200607,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69103e+10,0.4928557,0.4751992,1,0.4976295,0.4703331,1,3.275391,1,0.4880818,0.4800653,1,3.202591,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69103e+10,0.4932101,0.4788555,1,0.4998033,0.4768952,1,3.286072,1,0.486617,0.4808159,1,3.213593,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691031e+10,0.4931909,0.4736307,1,0.5005134,0.4683155,1,3.281845,1,0.4858683,0.478946,1,3.206955,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691032e+10,0.4926944,0.47333,1,0.4994906,0.4686758,1,3.273178,1,0.4858983,0.4779842,1,3.213257,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691033e+10,0.4933697,0.4773148,1,0.5002959,0.4759789,1,3.294678,1,0.4864436,0.4786508,1,3.215515,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691034e+10,0.494234,0.4724796,1,0.5016998,0.4684918,1,3.281433,1,0.4867682,0.4764674,1,3.214066,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691035e+10,0.4938971,0.4788364,1,0.5007828,0.4725738,1,3.29332,1,0.4870113,0.4850989,1,3.23114,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691035e+10,0.4936431,0.4715958,1,0.500378,0.4686026,1,3.275406,1,0.4869083,0.474589,1,3.200226,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691036e+10,0.4943041,0.4730344,1,0.5019246,0.4682139,1,3.282043,1,0.4866835,0.4778549,1,3.216583,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691037e+10,0.4938551,0.4803075,1,0.5008441,0.4720517,1,3.296982,1,0.4868661,0.4885634,1,3.242661,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691038e+10,0.4942325,0.4801844,1,0.499765,0.4794756,1,3.316284,1,0.4887,0.4808933,1,3.231949,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691039e+10,0.4943779,0.47681,1,0.5009757,0.4683383,1,3.290756,1,0.4877801,0.4852816,1,3.249207,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691039e+10,0.493679,0.4774351,1,0.5004483,0.4726965,1,3.29422,1,0.4869096,0.4821737,1,3.240112,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69104e+10,0.4936904,0.4818908,1,0.4990256,0.4831102,1,3.327301,1,0.4883551,0.4806714,1,3.217209,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691041e+10,0.4949607,0.4815873,1,0.5008503,0.4736288,1,3.298065,1,0.489071,0.4895458,1,3.243637,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691042e+10,0.4946502,0.4753804,1,0.500423,0.4775084,1,3.317474,1,0.4888775,0.4732524,1,3.213287,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691043e+10,0.495221,0.4774634,1,0.5001559,0.4733853,1,3.306122,1,0.4902861,0.4815416,1,3.233749,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691044e+10,0.4947979,0.4753102,1,0.4992115,0.4700915,1,3.304169,1,0.4903843,0.4805289,1,3.223251,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691044e+10,0.4943196,0.4812208,1,0.5008004,0.477589,1,3.310684,1,0.4878389,0.4848527,1,3.239624,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691045e+10,0.49499,0.474958,1,0.5012924,0.472418,1,3.313721,1,0.4886876,0.477498,1,3.225433,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691046e+10,0.4953992,0.4771266,1,0.5009121,0.4706107,1,3.297699,1,0.4898862,0.4836425,1,3.24147,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691047e+10,0.4963904,0.4818884,1,0.5005708,0.4723675,1,3.301163,1,0.4922101,0.4914092,1,3.262314,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691048e+10,0.4954358,0.4781311,1,0.5012324,0.4710735,1,3.291412,1,0.4896392,0.4851888,1,3.250595,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691048e+10,0.4953429,0.4776883,1,0.5005751,0.4749491,1,3.315033,1,0.4901106,0.4804275,1,3.229492,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691049e+10,0.4953359,0.4792832,1,0.5009062,0.4805518,1,3.311142,1,0.4897656,0.4780144,1,3.239532,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69105e+10,0.4959441,0.4811713,1,0.499562,0.479566,1,3.303146,1,0.4923261,0.4827766,1,3.230225,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691051e+10,0.4968606,0.4781207,1,0.5019607,0.475336,1,3.297699,1,0.4917605,0.4809054,1,3.243698,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691052e+10,0.4979583,0.4798148,1,0.5040218,0.4788747,1,3.289688,1,0.4918948,0.4807549,1,3.237183,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691053e+10,0.4957943,0.4788273,1,0.5020874,0.4723557,1,3.285797,1,0.4895012,0.4852989,1,3.265671,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691054e+10,0.4963847,0.4837848,1,0.5014759,0.4805087,1,3.312042,1,0.4912935,0.487061,1,3.249176,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691055e+10,0.4952119,0.4759412,1,0.5020093,0.471618,1,3.280273,1,0.4884146,0.4802644,1,3.241333,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691055e+10,0.4963386,0.4780173,1,0.5031707,0.4772704,1,3.284927,1,0.4895066,0.4787641,1,3.218124,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691056e+10,0.4964495,0.4801521,1,0.5032009,0.4730855,1,3.290405,1,0.4896981,0.4872187,1,3.243851,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691057e+10,0.4960421,0.4786516,1,0.5011796,0.4715777,1,3.280609,1,0.4909046,0.4857256,1,3.224915,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691058e+10,0.4971705,0.4813161,1,0.5030202,0.4787587,1,3.286835,1,0.4913208,0.4838737,1,3.227463,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691059e+10,0.4962922,0.4827261,1,0.5033289,0.480053,1,3.287766,1,0.4892555,0.4853991,1,3.22789,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69106e+10,0.4954654,0.4819503,1,0.5004973,0.4782585,1,3.288574,1,0.4904336,0.4856421,1,3.233261,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69106e+10,0.4977128,0.4799718,1,0.5026559,0.4766881,1,3.284973,1,0.4927696,0.4832556,1,3.224915,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691061e+10,0.4968446,0.4869236,1,0.5033266,0.4823638,1,3.291321,1,0.4903625,0.4914834,1,3.249786,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691062e+10,0.4968755,0.486836,1,0.5034593,0.4806469,1,3.287201,1,0.4902916,0.4930251,1,3.242142,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691063e+10,0.4963573,0.482036,1,0.5024469,0.4870546,1,3.301102,1,0.4902677,0.4770174,1,3.190842,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691064e+10,0.4960515,0.4827235,1,0.5012549,0.4764306,1,3.276001,1,0.4908481,0.4890165,1,3.221771,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691064e+10,0.496528,0.4785084,1,0.5039672,0.4795082,1,3.268997,1,0.4890888,0.4775087,1,3.198166,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691065e+10,0.4973563,0.4751279,1,0.5038691,0.4721857,1,3.245941,1,0.4908435,0.4780701,1,3.174301,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691066e+10,0.4963383,0.4832571,1,0.5021772,0.4879106,1,3.284271,1,0.4904995,0.4786035,1,3.188477,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691067e+10,0.4965646,0.4845991,1,0.5030887,0.4877956,1,3.276947,1,0.4900405,0.4814026,1,3.193649,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691068e+10,0.4959368,0.4786963,1,0.5020367,0.4804014,1,3.259644,1,0.4898369,0.4769913,1,3.182175,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691069e+10,0.4967802,0.4785718,1,0.5032896,0.4751222,1,3.24353,1,0.4902709,0.4820215,1,3.188995,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691069e+10,0.4962376,0.4769547,1,0.5015987,0.4788505,1,3.233307,1,0.4908766,0.4750589,1,3.166428,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69107e+10,0.4965487,0.4776432,1,0.5025162,0.4799064,1,3.236588,1,0.4905813,0.4753799,1,3.154739,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691071e+10,0.495811,0.4809518,1,0.5022156,0.4809293,1,3.241867,1,0.4894063,0.4809743,1,3.176636,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691072e+10,0.4972343,0.4820783,1,0.50407,0.4769976,1,3.222931,1,0.4903986,0.4871589,1,3.181198,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691073e+10,0.4972125,0.4753575,1,0.5044361,0.4732779,1,3.230179,1,0.489989,0.477437,1,3.154465,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691073e+10,0.4962867,0.4866382,1,0.5031895,0.4826806,1,3.231125,1,0.4893839,0.4905957,1,3.18222,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691074e+10,0.4975584,0.4872084,1,0.5033951,0.479103,1,3.225052,1,0.4917217,0.4953137,1,3.185883,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691075e+10,0.5043845,0.5044158,1,0.5114512,0.4981014,1,3.205765,1,0.4973178,0.5107301,1,3.158066,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691076e+10,0.5110462,0.5630713,1,0.5161006,0.5521846,1,3.209152,1,0.5059918,0.5739579,1,3.186478,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691077e+10,0.5072151,0.5979333,1,0.5138037,0.5866631,1,3.207642,1,0.5006264,0.6092035,1,3.206268,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691078e+10,0.5086362,0.5988679,1,0.5157055,0.5974205,1,3.253235,1,0.501567,0.6003153,1,3.192673,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691079e+10,0.5080676,0.5917186,1,0.5133793,0.5919411,1,3.237442,1,0.5027558,0.5914961,1,3.165436,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69108e+10,0.5100492,0.5974544,1,0.5186026,0.5906849,1,3.202972,1,0.5014958,0.604224,1,3.181259,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69108e+10,0.5079573,0.5989368,1,0.5139466,0.5932474,1,3.200851,1,0.501968,0.6046262,1,3.160172,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691081e+10,0.5072712,0.6008855,1,0.5121755,0.5955613,1,3.197495,1,0.5023668,0.6062096,1,3.168533,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691082e+10,0.5081401,0.5984545,1,0.5123937,0.5942103,1,3.193558,1,0.5038865,0.6026986,1,3.141663,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691083e+10,0.5068636,0.5799737,1,0.5131935,0.584352,1,3.175293,1,0.5005337,0.5755954,1,3.060852,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691084e+10,0.5093516,0.5987325,1,0.5152769,0.5989172,1,3.215042,1,0.5034263,0.5985478,1,3.131287,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691084e+10,0.5083275,0.593463,1,0.5148016,0.5918367,1,3.203705,1,0.5018533,0.5950893,1,3.121445,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691085e+10,0.5072854,0.5866634,1,0.5142957,0.5935558,1,3.193375,1,0.500275,0.5797709,1,3.080292,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691086e+10,0.5078056,0.5876325,1,0.5161462,0.5790232,1,3.147507,1,0.499465,0.5962417,1,3.125,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691087e+10,0.5096077,0.5796022,1,0.515317,0.5777375,1,3.148788,1,0.5038985,0.5814671,1,3.074768,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691088e+10,0.5091989,0.5933017,1,0.5154458,0.5835094,1,3.172119,1,0.502952,0.6030939,1,3.137421,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691089e+10,0.5087064,0.59466,1,0.5156183,0.5924797,1,3.190536,1,0.5017945,0.5968403,1,3.126282,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691089e+10,0.509791,0.5909646,1,0.5170444,0.5832246,1,3.156235,1,0.5025375,0.5987045,1,3.12677,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.69109e+10,0.5078765,0.5891496,1,0.5131154,0.5844005,1,3.16153,1,0.5026375,0.5938987,1,3.096222,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
4.691091e+10,0.511134,0.5860649,1,0.5178831,0.5770746,1,3.154312,1,0.5043851,0.5950553,1,3.127518,1,014,2017-04-28,f,2019-10-05_10-09,cat,2,1,2,unrelated,7,baseline,anec,center
