"participant","id_db","date_test","lp","doe_catalan","doe_spanish","doe_others","age_group","test_language","list","version","filename"
"cognatepriming18","54377",2019-11-26,"Bilingual",0.54,0.46,0,"30 months","Spanish",1,"euro","CognatePriming_018_2019-11-26_2.csv"
"cognatepriming19","54731",2019-11-28,"Bilingual",0.58,0.4,0,"30 months","Catalan",2,"ll","CognatePriming_019_2019-11-28.csv"
"cognatepriming20","54538",2019-11-30,"Bilingual",0.26,0.74,0,"30 months","Spanish",1,"euro","CognatePriming_020_2019-11-30.csv"
"cognatepriming21","54379",2019-11-30,"Bilingual",0.56,0.4,0,"30 months","Spanish",2,"euro","CognatePriming_021_2019-11-30.csv"
"cognatepriming22","50010",2019-11-30,"Bilingual",0.24,0.76,0,"30 months","Catalan",3,"i","CognatePriming_022_2019-11-30.csv"
"cognatepriming23","54548",2019-11-30,"Monolingual",0.02,0.98,0,"30 months","Spanish",3,"euro","CognatePriming_023_2019-11-30.csv"
"cognatepriming25","54250",2019-12-14,"Monolingual",0.82,0.18,0,"30 months","Catalan",1,"ll","CognatePriming_025_2019-12-14.csv"
"cognatepriming26","54487",2019-12-14,"Bilingual",0.57,0.43,0,"30 months","Catalan",1,"i","CognatePriming_026_2019-12-14.csv"
"cognatepriming27","54840",2019-12-14,"Monolingual",0.88,0.11,0,"30 months","Catalan",2,"ll","CognatePriming_027_2019-12-14_1.csv"
"cognatepriming28","54469",2019-12-14,"Monolingual",0.07,0.93,0,"30 months","Spanish",3,"latin","CognatePriming_028_2019-12-14.csv"
"cognatepriming29","54639",2020-01-15,"Bilingual",0.24,0.76,0,"30 months","Spanish",1,"euro","CognatePriming_029_2020-01-15.csv"
"cognatepriming30","54705",2020-01-18,"Monolingual",0.16,0.84,0,"30 months","Spanish",3,"euro","CognatePriming_030_2020-01-17.csv"
"cognatepriming31","54680",2020-01-17,"Bilingual",0.44,0.66,0,"30 months","Spanish",2,"euro","CognatePriming_031_2020-01-18.csv"
"cognatepriming32","55537",2020-01-18,"Bilingual",0.53,0.47,0,"30 months","Catalan",2,"ll","CognatePriming_032_2020-01-18_1.csv"
"cognatepriming33","54717",2020-01-23,"Monolingual",0.18,0.82,0,"30 months","Spanish",1,"euro","CognatePriming_033_2020-01-23.csv"
"cognatepriming34","54709",2020-01-28,"Bilingual",0.58,0.37,0,"30 months","Catalan",1,"i","CognatePriming_034_2020-01-28.csv"
"cognatepriming35","55108",2020-02-01,"Bilingual",0.5,0.46,0.04,"30 months","Catalan",2,"ll","CognatePriming_035_2020-02-01.csv"
"cognatepriming36","54875",2020-02-06,"Monolingual",0.11,0.89,0,"30 months","Spanish",1,"euro","CognatePriming_036_2020-02-06.csv"
"cognatepriming37","58059",2020-02-08,"Bilingual",0.02,0.48,0.3,"25 months","Spanish",3,"euro","CognatePriming_037_2020-02-08.csv"
"cognatepriming38","54816",2020-02-10,"Monolingual",0.84,0.16,0,"30 months","Catalan",3,"ll","CognatePriming_038_2020-02-10.csv"
"cognatepriming39","54788",2020-02-10,"Monolingual",0,1,0,"30 months","Spanish",2,"euro","CognatePriming_039_2020-02-10.csv"
"cognatepriming40","54866",2020-02-14,"Monolingual",0.85,0.15,0,"30 months","Catalan",1,"ll","CognatePriming_040_2020-02-14.csv"
"cognatepriming41","54912",2020-02-15,"Monolingual",0.02,0.98,0,"30 months","Spanish",2,"euro","CognatePriming_041_2020-02-15.csv"
"cognatepriming42","54993",2020-02-25,"Bilingual",0.23,0.77,0,"30 months","Spanish",3,"euro","CognatePriming_042_2020-02-25.csv"
"cognatepriming43","54960",2020-02-28,"Bilingual",0.49,0.51,0,"30 months","Spanish",2,"euro","CognatePriming_043_2020-02-28_2.csv"
"cognatepriming44","54815",2020-02-29,"Bilingual",0.42,0.58,0,"30 months","Catalan",2,"ll","CognatePriming_044_2020-02-29_1.csv"
"cognatepriming45","55867",2020-03-07,"Bilingual",0.56,0.44,0,"21 months","Catalan",1,"ll","CognatePriming_045_2020-03-07_2.csv"
"cognatepriming47","55877",2020-03-11,"Monolingual",1,0,0,"21 months","Catalan",1,"ll","CognatePriming_047_2020-03-11.csv"
"cognatepriming48","55878",2020-03-11,"Bilingual",0.51,0.49,0,"21 months","Spanish",2,"euro","CognatePriming_048_2020-03-11.csv"
"cognatepriming49","56762",2020-11-06,"Monolingual",0.97,0,0,"21 months","Catalan",3,"ll","CognatePriming_049_2020-11-06_2.csv"
"cognatepriming50","56937",2020-11-07,"Monolingual",1,0,0,"21 months","Catalan",2,"ll","CognatePriming_050_2020-11-07.csv"
"cognatepriming51","56911",2020-11-07,"Monolingual",0.92,0.08,0,"21 months","Catalan",1,"ll","CognatePriming_051_2020-11-07.csv"
"cognatepriming52","56876",2020-11-09,"Monolingual",0.92,0.08,0,"21 months","Catalan",2,"ll","CognatePriming_052_2020-11-09.csv"
"cognatepriming53","56334",2020-11-14,"Monolingual",0.91,0.07,0,"25 months","Catalan",2,"ll","CognatePriming_053_2020-11-14.csv"
"cognatepriming54","56985",2020-11-14,"Monolingual",0.08,0.92,0,"21 months","Spanish",1,"euro","CognatePriming_054_2020-11-14.csv"
"cognatepriming55","56766",2020-11-14,"Bilingual",0.68,0.32,0,"21 months","Catalan",1,"ll","CognatePriming_055_2020-11-14.csv"
"cognatepriming56","56772",2020-11-14,"Monolingual",0.16,0.84,0,"21 months","Spanish",2,"latin","CognatePriming_056_2020-11-14.csv"
"cognatepriming57","56771",2020-11-16,"Bilingual",0.55,0.45,0,"21 months","Catalan",3,"ll","CognatePriming_057_2020-11-16.csv"
"cognatepriming58","56232",2020-11-17,"Monolingual",0.8,0.2,0,"25 months","Catalan",3,"ll","CognatePriming_058_2020-11-17.csv"
"cognatepriming59","56346",2020-11-18,"Monolingual",0.97,0.03,0,"25 months","Catalan",2,"ll","CognatePriming_059_2020-11-18.csv"
"cognatepriming60","56366",2020-11-19,"Bilingual",0.23,0.77,0,"25 months","Spanish",3,"euro","CognatePriming_060_2020-11-19_1.csv"
"cognatepriming61","56224",2020-12-05,"Bilingual",0.3,0.7,0,"25 months","Spanish",2,"euro","CognatePriming_061_2020-12-05.csv"
"cognatepriming62","56995",2020-11-21,"Monolingual",0.99,0,0,"21 months","Catalan",1,"ll","CognatePriming_062_2020-11-21.csv"
"cognatepriming64","56237",2020-11-21,"Monolingual",0.99,0.01,0,"25 months","Spanish",1,"latin","CognatePriming_064_2020-11-21.csv"
"cognatepriming65","56363",2020-11-25,"Monolingual",1,0,0,"25 months","Catalan",1,"ll","CognatePriming_065_2020-11-25.csv"
"cognatepriming66","56465",2020-11-26,"Bilingual",0.37,0.63,0,"25 months","Spanish",1,"euro","CognatePriming_066_2020-11-26.csv"
"cognatepriming67","56374",2020-11-27,"Bilingual",0.53,0.47,0,"25 months","Catalan",1,"ll","CognatePriming_067_2020-11-27.csv"
"cognatepriming68","56523",2020-11-27,"Bilingual",0.63,0.37,0,"25 months","Catalan",1,"ll","CognatePriming_068_2020-11-27.csv"
"cognatepriming69","56352",2020-11-28,"Monolingual",0.05,0.92,0,"25 months","Spanish",2,"euro","CognatePriming_069_2020-11-28.csv"
"cognatepriming70","57059",2020-12-01,"Monolingual",0.02,0.98,0,"21 months","Spanish",3,"euro","CognatePriming_070_2020-12-01.csv"
"cognatepriming71","56984",2020-12-01,"Bilingual",0.71,0.29,0,"21 months","Catalan",1,"ll","CognatePriming_071_2020-12-01.csv"
"cognatepriming72","57028",2020-12-04,"Monolingual",0.14,0.86,0,"21 months","Spanish",3,"euro","CognatePriming_072_2020-12-04.csv"
"cognatepriming73","57062",2020-12-04,"Monolingual",0.01,0.97,0,"21 months","Spanish",2,"euro","CognatePriming_073_2020-12-04.csv"
"cognatepriming74","56371",2020-12-05,"Monolingual",0.03,0.97,0,"25 months","Catalan",3,"ll","CognatePriming_074_2020-12-05.csv"
"cognatepriming75","56528",2020-12-09,"Monolingual",0.81,0.19,0,"25 months","Catalan",2,"ll","CognatePriming_075_2020-12-09.csv"
"cognatepriming76","57436",2020-12-12,"Bilingual",0.52,0.48,0,"21 months","Spanish",1,"euro","CognatePriming_076_2020-12-12.csv"
"cognatepriming77","57139",2020-12-12,"Monolingual",1,0,0,"21 months","Catalan",2,"ll","CognatePriming_077_2020-12-12.csv"
"cognatepriming78","57050",2020-12-16,"Monolingual",1,0,0,"21 months","Catalan",3,"ll","CognatePriming_078_2020-12-16.csv"
"cognatepriming79","57157",2020-12-16,"Monolingual",1,0,0,"21 months","Catalan",3,"ll","CognatePriming_079_2020-12-16.csv"
"cognatepriming80","56344",2020-12-19,"Bilingual",0.4,0.6,0,"21 months","Spanish",3,"euro","CognatePriming_080_2020-12-19_1.csv"
"cognatepriming81","57092",2020-12-21,"Monolingual",0.96,0.04,0,"21 months","Catalan",3,"ll","CognatePriming_081_2020-12-21.csv"
"cognatepriming82","57097",2020-12-21,"Monolingual",0,1,0,"21 months","Spanish",3,"euro","CognatePriming_082_2020-12-21.csv"
"cognatepriming83","57111",2021-01-16,"Monolingual",0.08,0.82,0,"21 months","Spanish",2,"euro","CognatePriming_083_2021-01-16.csv"
"cognatepriming84","57177",2021-01-22,"Monolingual",0.99,0.01,0,"21 months","Catalan",1,"ll","CognatePriming_084_2021-01-22.csv"
"cognatepriming85","57170",2021-01-22,"Monolingual",1,0,0,"21 months","Catalan",2,"ll","CognatePriming_085_2021-01-22.csv"
"cognatepriming86","57159",2021-01-29,"Bilingual",0.38,0.62,0,"21 months","Catalan",3,"i","CognatePriming_086_2021-01-29.csv"
"cognatepriming87","57201",2021-01-30,"Monolingual",0.95,0.05,0,"21 months","Catalan",2,"ll","CognatePriming_087_2021-01-30.csv"
"cognatepriming88","57222",2021-01-30,"Bilingual",0.39,0.61,0,"21 months","Spanish",3,"euro","CognatePriming_088_2021-01-30.csv"
"cognatepriming89","57241",2021-02-02,"Monolingual",0.97,0.03,0,"21 months","Catalan",3,"ll","CognatePriming_089_2021-02-02.csv"
"cognatepriming90","57427",2021-02-06,"Bilingual",0.55,0.45,0,"21 months","Catalan",1,"ll","CognatePriming_090_2021-02-06_2.csv"
"cognatepriming91","57165",2021-02-06,"Monolingual",0.03,0.97,0,"21 months","Spanish",1,"euro","CognatePriming_091_2021-02-06.csv"
"cognatepriming92","57250",2021-02-06,"Monolingual",0.9,0.1,0,"21 months","Catalan",2,"ll","CognatePriming_092_2021-02-06.csv"
"cognatepriming93","57273",2021-02-13,"Bilingual",0.28,0.72,0,"21 months","Spanish",1,"euro","CognatePriming_093_2021-02-13.csv"
"cognatepriming49","56762",2021-02-13,"Monolingual",0.97,0.03,0,"25 months","Catalan",3,"ll","CognatePriming_049_2021-02-13.csv"
"cognatepriming94","57243",2021-02-13,"Monolingual",0,1,0,"21 months","Spanish",1,"euro","CognatePriming_094_2021-02-13.csv"
"cognatepriming95","57227",2021-02-13,"Monolingual",0.95,0.05,0,"21 months","Catalan",1,"ll","CognatePriming_095_2021-02-13_1.csv"
"cognatepriming96","57324",2021-02-13,"Monolingual",0.03,0.97,0,"21 months","Catalan",1,"ll","CognatePriming_096_2021-02-13.csv"
"cognatepriming97","57374",2021-02-19,"Monolingual",0,1,0,"21 months","Spanish",2,"euro","CognatePriming_097_2021-02-19.csv"
"cognatepriming98","57337",2021-02-20,"Bilingual",0.73,0.27,0,"21 months","Catalan",2,"ll","CognatePriming_098_2021-02-20.csv"
"cognatepriming55","56766",2021-02-20,"Bilingual",0.67,0.31,0.02,"25 months","Catalan",1,"ll","CognatePriming_055_2021-02-20_1.csv"
"cognatepriming99","57239",2021-02-20,"Bilingual",0.3,0.7,0,"21 months","Spanish",2,"euro","CognatePriming_099_2021-02-20_1.csv"
"cognatepriming100","57274",2021-02-20,"Bilingual",0.66,0.34,0,"21 months","Catalan",3,"ll","CognatePriming_100_2021-02-20_1.csv"
"cognatepriming101","57240",2021-02-20,"Monolingual",1,0,0,"21 months","Catalan",2,"ll","CognatePriming_101_2021-02-20_1.csv"
"cognatepriming102","57839",2021-02-26,"Monolingual",1,0,0,"21 months","Catalan",1,"ll","CognatePriming_102_2021-02-26.csv"
"cognatepriming103","57336",2021-02-27,"Bilingual",0.66,0.34,0,"21 months","Catalan",2,"i","CognatePriming_103_2021-02-27.csv"
"cognatepriming104","57340",2021-02-27,"Monolingual",0,1,0,"21 months","Spanish",3,"euro","CognatePriming_104_2021-02-27.csv"
"cognatepriming105","57293",2021-02-27,"Bilingual",0.56,0.44,0,"21 months","Catalan",2,"ll","CognatePriming_105_2021-02-27_1.csv"
"cognatepriming57","56771",2021-03-05,"Bilingual",0.55,0.45,0,"25 months","Catalan",3,"ll","CognatePriming_057_2021-03-05.csv"
"cognatepriming51","56911",2021-03-06,"Monolingual",0.92,0.08,0,"25 months","Catalan",1,"ll","CognatePriming_051_2021-03-06_1.csv"
"cognatepriming106","58347",2021-03-13,"Bilingual",0.26,0.74,0,"21 months","Spanish",1,"euro","CognatePriming_106_2021-03-13_1.csv"
"cognatepriming50","56937",2021-03-13,"Monolingual",0.99,0.01,0,"25 months","Catalan",2,"ll","CognatePriming_050_2021-03-13.csv"
"cognatepriming107","58328",2021-03-13,"Monolingual",1,0,0,"21 months","Catalan",1,"ll","CognatePriming_107_2021-03-13.csv"
"cognatepriming108","57464",2021-03-15,"Bilingual",0.44,0.56,0,"21 months","Spanish",2,"euro","CognatePriming_108_2021-03-15.csv"
"cognatepriming54","56985",2021-03-17,"Monolingual",0.09,0.91,0,"25 months","Spanish",1,"euro","CognatePriming_054_2021-03-17.csv"
"cognatepriming74","56371",2021-03-20,"Monolingual",0.98,0.02,0,"30 months","Catalan",3,"ll","CognatePriming_074_2021-03-20_1.csv"
"cognatepriming52","56876",2021-03-22,"Monolingual",0.92,0.08,0,"25 months","Catalan",2,"ll","CognatePriming_052_2021-03-22.csv"
"cognatepriming64","56237",2021-04-10,"Monolingual",0.05,0.95,0,"30 months","Spanish",1,"latin","CognatePriming_064_2021-04-10_1.csv"
"cognatepriming80","56344",2021-04-10,"Bilingual",0.42,0.58,0,"30 months","Spanish",3,"euro","CognatePriming_080_2021-04-10.csv"
"cognatepriming59","56346",2021-04-13,"Monolingual",0.97,0.03,0,"30 months","Catalan",2,"ll","CognatePriming_059_2021-04-13.csv"
"cognatepriming109","57462",2021-04-14,"Bilingual",0.71,0.29,0,"21 months","Catalan",3,"ll","CognatePriming_109_2021-04-14.csv"
"cognatepriming111","58319",2021-04-17,"Bilingual",0.62,0.38,0,"30 months","Catalan",3,"ll","CognatePriming_111_2021-04-17.csv"
"cognatepriming53","56334",2021-04-17,"Monolingual",0.92,0.08,0,"30 months","Catalan",2,"ll","CognatePriming_053_2021-04-17.csv"
"cognatepriming67","56374",2021-04-22,"Bilingual",0.54,0.46,0,"30 months","Catalan",1,"ll","CognatePriming_067_2021-04-22.csv"
"cognatepriming65","56363",2021-04-22,"Monolingual",1,0,0,"30 months","Catalan",1,"ll","CognatePriming_065_2021-04-22.csv"
"cognatepriming60","56366",2021-04-26,"Bilingual",0.25,0.75,0,"30 months","Spanish",3,"euro","CognatePriming_060_2021-04-26.csv"
"cognatepriming58","56232",2021-04-28,"Bilingual",0.8,0.2,0,"30 months","Catalan",3,"ll","CognatePriming_058_2021-04-28.csv"
