"participant","age_group","lp","vocab_size_total","vocab_size_l1","vocab_size_conceptual","is_imputed"
"cognatepriming18","30 months","Bilingual",0.6421254801536491,0.6056701030927835,0.7263556116015133,false
"cognatepriming19","30 months","Bilingual",0.70550576184379,0.720360824742268,0.8032786885245902,false
"cognatepriming20","30 months","Bilingual",0.5285913528591353,0.6120689655172413,0.6657681940700808,true
"cognatepriming21","30 months","Bilingual",0.7759282970550576,0.7654639175257731,0.8272383354350568,false
"cognatepriming22","30 months","Bilingual",0.5564853556485355,0.5528455284552846,0.6129032258064516,true
"cognatepriming23","30 months","Monolingual",0.939521800281294,0.8053097345132744,0.8951612903225806,true
"cognatepriming25","30 months","Monolingual",0.49232914923291493,0.38005390835579517,0.5,true
"cognatepriming26","30 months","Bilingual",0.6858044164037855,0.7743979721166033,0.8168130489335006,false
"cognatepriming27","30 months","Monolingual",0.5350157728706625,0.7667934093789607,0.7728983688833124,false
"cognatepriming28","30 months","Monolingual",0.7266387726638772,0.6724137931034483,0.784366576819407,true
"cognatepriming29","30 months","Bilingual",0.45911047345767575,0.41002949852507375,0.5056461731493099,true
"cognatepriming30","30 months","Monolingual",0.9605633802816902,0.8497109826589595,0.9542857142857143,true
"cognatepriming31","30 months","Bilingual",0.8220946915351507,0.6127167630057804,0.784366576819407,true
"cognatepriming32","30 months","Bilingual",0.4309623430962343,0.5115606936416185,0.5202156334231806,true
"cognatepriming33","30 months","Monolingual",0.793400286944046,0.6127167630057804,0.7169811320754716,true
"cognatepriming34","30 months","Bilingual",0.45288326300984527,0.6724137931034483,0.6586021505376344,true
"cognatepriming35","30 months","Bilingual",0.6052998605299861,0.4634146341463415,0.6142857142857143,true
"cognatepriming36","30 months","Monolingual",0.5767575322812052,0.3764367816091954,0.5420326223337516,true
"cognatepriming37","25 months","Bilingual",0.9134615384615384,0.8613569321533924,0.9314285714285714,true
"cognatepriming38","30 months","Monolingual",0.9605633802816902,0.8208092485549133,0.9,true
"cognatepriming39","30 months","Monolingual",0.9605633802816902,0.7493261455525606,0.8814016172506739,true
"cognatepriming40","30 months","Monolingual",0.3436619718309859,0.39892183288409705,0.40860215053763443,true
"cognatepriming41","30 months","Monolingual",0.8771929824561403,0.8304597701149425,0.8738965952080706,true
"cognatepriming42","30 months","Bilingual",0.25425867507886435,0.3538011695906433,0.3628571428571429,true
"cognatepriming43","30 months","Bilingual",0.9436619718309859,0.7988505747126436,0.8728323699421965,true
"cognatepriming44","30 months","Bilingual",0.45911047345767575,0.4634146341463415,0.6774193548387096,true
"cognatepriming45","21 months","Bilingual",0.09211356466876972,0.05449936628643853,0.1468005018820577,false
"cognatepriming47","21 months","Monolingual",0.45467224546722457,0.3448275862068966,0.44086021505376344,true
"cognatepriming48","21 months","Bilingual",0.22271293375394322,0.4233206590621039,0.42534504391468003,false
"cognatepriming49","21 months","Monolingual",0.7943661971830986,0.6056701030927835,0.7493261455525606,true
"cognatepriming50","21 months","Monolingual",0.496513249651325,0.6965317919075145,0.7123655913978495,false
"cognatepriming51","21 months","Monolingual",0.5084507042253521,0.6814159292035398,0.6792452830188679,false
"cognatepriming52","21 months","Monolingual",0.17073170731707318,0.34195402298850575,0.34,false
"cognatepriming53","25 months","Monolingual",0.3242467718794835,0.2601626016260163,0.34,true
"cognatepriming54","21 months","Monolingual",0.39609483960948394,0.6226415094339622,0.6451612903225806,false
"cognatepriming55","21 months","Bilingual",0.23672883787661406,0.25287356321839083,0.32285714285714284,false
"cognatepriming56","21 months","Monolingual",0.5267605633802817,0.45722713864306785,0.6576819407008087,false
"cognatepriming57","21 months","Bilingual",0.793400286944046,0.5311653116531165,0.6771428571428572,true
"cognatepriming58","25 months","Monolingual",0.6331938633193863,0.6473988439306358,0.728494623655914,false
"cognatepriming59","25 months","Monolingual",0.9340028694404591,0.9482758620689655,0.9571428571428572,false
"cognatepriming60","25 months","Bilingual",0.8238482384823849,0.720360824742268,0.8238482384823849,true
"cognatepriming61","25 months","Bilingual",0.7618364418938307,0.529639175257732,0.6685714285714286,true
"cognatepriming62","21 months","Monolingual",0.369901547116737,0.40161725067385445,0.42048517520215634,true
"cognatepriming64","25 months","Monolingual",0.5949367088607594,0.907859078590786,0.9054054054054054,false
"cognatepriming65","25 months","Monolingual",0.4154929577464789,0.6696165191740413,0.6657681940700808,false
"cognatepriming66","25 months","Bilingual",0.5035161744022504,0.5311653116531165,0.5783783783783784,false
"cognatepriming67","25 months","Bilingual",0.7211267605633803,0.6549865229110512,0.784366576819407,false
"cognatepriming68","25 months","Bilingual",0.8523206751054853,0.8713450292397661,0.8891891891891892,false
"cognatepriming69","25 months","Monolingual",0.3584379358437936,0.34971098265895956,0.4838709677419355,false
"cognatepriming70","21 months","Monolingual",0.7464788732394366,0.7681940700808625,0.8059299191374663,false
"cognatepriming71","21 months","Bilingual",0.403068340306834,0.5115606936416185,0.5403225806451613,false
"cognatepriming72","21 months","Monolingual",0.6394366197183099,0.6684636118598383,0.7142857142857143,false
"cognatepriming73","21 months","Monolingual",0.939117199391172,0.7277628032345014,0.8409703504043127,true
"cognatepriming74","25 months","Monolingual",0.6140602582496413,0.867816091954023,0.8685714285714285,false
"cognatepriming75","25 months","Monolingual",0.679324894514768,0.6900584795321637,0.7432432432432432,false
"cognatepriming76","21 months","Bilingual",0.45911047345767575,0.5702005730659025,0.6114285714285714,false
"cognatepriming77","21 months","Monolingual",0.4345991561181435,0.6184971098265896,0.6102150537634409,true
"cognatepriming78","21 months","Monolingual",0.15330520393811534,0.2953216374269006,0.28378378378378377,false
"cognatepriming79","21 months","Monolingual",0.2900976290097629,0.48554913294797686,0.478494623655914,false
"cognatepriming80","21 months","Bilingual",0.8366197183098592,0.7017543859649122,0.795483061480552,true
"cognatepriming81","21 months","Monolingual",0.33943661971830985,0.3834808259587021,0.42587601078167114,false
"cognatepriming82","21 months","Monolingual",0.860832137733142,0.8265582655826558,0.8867924528301887,true
"cognatepriming83","21 months","Monolingual",0.9134615384615384,0.9122807017543859,0.9228571428571428,true
"cognatepriming84","21 months","Monolingual",0.9349593495934959,0.9054441260744985,0.9314285714285714,true
"cognatepriming85","21 months","Monolingual",0.6919831223628692,0.7610619469026548,0.7742857142857142,true
"cognatepriming86","21 months","Bilingual",0.6269727403156384,0.4298245614035088,0.5628571428571428,true
"cognatepriming87","21 months","Monolingual",0.9349593495934959,0.9137466307277629,0.9378378378378378,true
"cognatepriming88","21 months","Bilingual",0.9673495518565941,0.8670520231213873,0.9354838709677419,true
"cognatepriming89","21 months","Monolingual",0.5471167369901547,0.9502923976608187,0.8810810810810811,false
"cognatepriming90","21 months","Bilingual",0.5285913528591353,0.3908355795148248,0.6774193548387096,false
"cognatepriming91","21 months","Monolingual",0.5107604017216643,0.5702005730659025,0.6342857142857142,false
"cognatepriming92","21 months","Monolingual",0.23672883787661406,0.3160919540229885,0.34285714285714286,false
"cognatepriming93","21 months","Bilingual",0.9605633802816902,0.8208092485549133,0.9,true
"cognatepriming49","25 months","Monolingual",0.4253521126760563,0.887905604719764,0.8113207547169812,false
"cognatepriming94","21 months","Monolingual",0.38880918220946914,0.7392550143266475,0.7428571428571429,false
"cognatepriming95","21 months","Monolingual",0.4131994261119082,0.6063218390804598,0.6085714285714285,false
"cognatepriming96","21 months","Monolingual",0.30962343096234307,0.29190751445086704,0.34946236559139787,false
"cognatepriming97","21 months","Monolingual",0.24507042253521127,0.46630727762803237,0.46630727762803237,false
"cognatepriming98","21 months","Bilingual",0.2577464788732394,0.41002949852507375,0.39622641509433965,false
"cognatepriming55","25 months","Bilingual",0.3299856527977044,0.3448275862068966,0.42,false
"cognatepriming99","21 months","Bilingual",0.5451936872309899,0.5221799746514575,0.5698924731182796,true
