Language,Item
Catalan,cat_abella
Catalan,cat_aigua
Catalan,cat_aixeta
Catalan,cat_amanida
Catalan,cat_ampolla
Catalan,cat_anec
Catalan,cat_arbre
Catalan,cat_avio
Catalan,cat_barret
Catalan,cat_berenar
Catalan,cat_bici
Catalan,cat_boca
Catalan,cat_bolet
Catalan,cat_boto
Catalan,cat_bou
Catalan,cat_cadira
Catalan,cat_caixa
Catalan,cat_cama
Catalan,cat_camio
Catalan,cat_casa
Catalan,cat_cel
Catalan,cat_cistella
Catalan,cat_claus
Catalan,cat_colom
Catalan,cat_cotxe
Catalan,cat_cuc
Catalan,cat_cullera
Catalan,cat_finestra
Catalan,cat_flor
Catalan,cat_formatge
Catalan,cat_formiga
Catalan,cat_forquilla
Catalan,cat_full
Catalan,cat_fulla
Catalan,cat_galeta
Catalan,cat_galleda
Catalan,cat_gat
Catalan,cat_globus
Catalan,cat_gos
Catalan,cat_got
Catalan,cat_granota
Catalan,cat_guitarra
Catalan,cat_llit
Catalan,cat_ma
Catalan,cat_maduixa
Catalan,cat_martell
Catalan,cat_melic
Catalan,cat_mico
Catalan,cat_mirall
Catalan,cat_mitjo
Catalan,cat_moneda
Catalan,cat_moto
Catalan,cat_mussol
Catalan,cat_nina
Catalan,cat_ocell
Catalan,cat_onada
Catalan,cat_orella
Catalan,cat_osset
Catalan,cat_ovella
Catalan,cat_pa
Catalan,cat_papallona
Catalan,cat_pardal
Catalan,cat_pastanaga
Catalan,cat_peix
Catalan,cat_pernil
Catalan,cat_peu
Catalan,cat_pilota
Catalan,cat_planta
Catalan,cat_platan
Catalan,cat_poma
Catalan,cat_porc
Catalan,cat_porta
Catalan,cat_raspall
Catalan,cat_sabata
Catalan,cat_suc
Catalan,cat_tambor
Catalan,cat_taula
Catalan,cat_tele
Catalan,cat_tisores
Catalan,cat_tobogan
Catalan,cat_tomaquet
Catalan,cat_tren
Catalan,cat_ull
Catalan,cat_ulleres
Catalan,cat_ungla
Catalan,cat_vaca
Catalan,cat_vaixell
Catalan,cat_zebra
Spanish,spa_abeja
Spanish,spa_agua
Spanish,spa_arbol
Spanish,spa_avion
Spanish,spa_barco
Spanish,spa_bici
Spanish,spa_boca
Spanish,spa_botella
Spanish,spa_boton
Spanish,spa_buho
Spanish,spa_caja
Spanish,spa_calcetin
Spanish,spa_cama
Spanish,spa_camion
Spanish,spa_casa
Spanish,spa_cebra
Spanish,spa_cepillo
Spanish,spa_cerdo
Spanish,spa_cesta
Spanish,spa_cielo
Spanish,spa_coche
Spanish,spa_cubo
Spanish,spa_cuchara
Spanish,spa_ensalada
Spanish,spa_espejo
Spanish,spa_flor
Spanish,spa_fresa
Spanish,spa_gafas
Spanish,spa_galleta
Spanish,spa_gato
Spanish,spa_globo
Spanish,spa_gorrion
Spanish,spa_grifo
Spanish,spa_guitarra
Spanish,spa_gusano
Spanish,spa_hoja
Spanish,spa_hormiga
Spanish,spa_jamon
Spanish,spa_llaves
Spanish,spa_ma
Spanish,spa_mano
Spanish,spa_manzana
Spanish,spa_mariposa
Spanish,spa_martillo
Spanish,spa_merienda
Spanish,spa_mesa
Spanish,spa_mico
Spanish,spa_moneda
Spanish,spa_mono
Spanish,spa_moto
Spanish,spa_muneca
Spanish,spa_ojo
Spanish,spa_ola
Spanish,spa_ombligo
Spanish,spa_oreja
Spanish,spa_osito
Spanish,spa_oveja
Spanish,spa_pajaro
Spanish,spa_paloma
Spanish,spa_pan
Spanish,spa_pato
Spanish,spa_pelota
Spanish,spa_perro
Spanish,spa_pez
Spanish,spa_pie
Spanish,spa_pierna
Spanish,spa_planta
Spanish,spa_platano
Spanish,spa_puerta
Spanish,spa_queso
Spanish,spa_rana
Spanish,spa_seta
Spanish,spa_silla
Spanish,spa_sombrero
Spanish,spa_tambor
Spanish,spa_tele
Spanish,spa_tenedor
Spanish,spa_tijeras
Spanish,spa_tobogan
Spanish,spa_tomate
Spanish,spa_toro
Spanish,spa_tren
Spanish,spa_una
Spanish,spa_vaca
Spanish,spa_vaso
Spanish,spa_ventana
Spanish,spa_zanahoria
Spanish,spa_zapato
Spanish,spa_zumo
