id,age_group,response_id
56927,30 months,
54904,30 months,
53292,30 months,
51273,30 months,
54563,30 months,
57148,30 months,
53655,30 months,
54202,30 months,
52360,30 months,
54322,30 months,
54286,30 months,
54169,30 months,
51407,30 months,
52554,30 months,
52823,30 months,
53656,30 months,
54160,30 months,
54377,30 months,
54731,30 months,
54538,30 months,
54379,30 months,
50010,30 months,
54548,30 months,
55155,25 months,
54250,30 months,
54487,30 months,552
54840,30 months,553
54469,30 months,
54639,30 months,
54705,30 months,
54680,30 months,
55537,30 months,
54717,30 months,
54709,30 months,
55108,30 months,
54875,30 months,
58059,25 months,
54816,30 months,
54788,30 months,
54866,30 months,
54912,30 months,
54993,30 months,
54960,30 months,
54815,30 months,
55867,21 months,618
55010,30 months,
55877,21 months,620
55878,21 months,
56762,21 months,
56937,21 months,1510
56911,21 months,1511
56876,21 months,1514
56334,25 months,
56985,21 months,1524
56766,21 months,1525
56772,21 months,1526
56771,21 months,
56232,25 months,1528
56346,25 months,1529
56346,25 months,1138
56366,25 months,
56224,25 months,
56995,21 months,
56237,25 months,1537
56363,25 months,1550
56465,25 months,1551
56374,25 months,
56523,25 months,1549
56352,25 months,1556
57059,21 months,1562
56984,21 months,1563
57028,21 months,1564
57062,21 months,
56371,25 months,1567
56528,25 months,1569
57436,21 months,1570
57139,21 months,
57050,21 months,1573
57157,21 months,1574
56344,21 months,1311
57092,21 months,1576
57097,21 months,
57111,21 months,
57177,21 months,
57170,21 months,
57159,21 months,
57201,21 months,
57222,21 months,
57241,21 months,1629
57427,21 months,1630
57165,21 months,1631
57250,21 months,1632
57273,21 months,
56762,25 months,1636
57243,21 months,1637
57227,21 months,1638
57324,21 months,1639
57374,21 months,1642
57337,21 months,1644
56766,25 months,1643
57239,21 months,
57274,21 months,1646
57240,21 months,1647
57839,21 months,1648
57336,21 months,1649
57340,21 months,1650
57293,21 months,1651
56771,25 months,
56911,25 months,1660
58347,21 months,
56937,25 months,1662
58328,21 months,1663
57464,21 months,1664
56985,25 months,
56371,30 months,1667
56876,25 months,
56237,30 months,
56995,25 months,
56344,30 months,1676
56346,30 months,
57462,21 months,
57480,21 months,1679
58319,30 months,
56334,30 months,1681
56374,30 months,
56363,30 months,
56366,30 months,1684
56232,30 months,
57059,25 months,1686
57028,25 months,
57050,25 months,1688
57062,25 months,
57092,25 months,1690
57097,25 months,
57436,25 months,1692
56352,30 months,1693
57177,25 months,
57159,25 months,
57537,21 months,
57534,21 months,1697
57157,25 months,1698
57566,21 months,1699
57559,21 months,1700
56528,30 months,
57575,21 months,
57642,21 months,
57552,21 months,1705
57613,21 months,1706
57569,21 months,
57250,25 months,1708
57666,21 months,1709
57274,25 months,1710
57165,25 months,1714
58233,21 months,
57427,25 months,1716
57597,21 months,1717
57707,21 months,1718
57222,25 months,
57660,21 months,1720
57595,21 months,1721
57670,21 months,1722
57742,21 months,1723
58049,21 months,1724
57658,21 months,
57709,21 months,
57839,25 months,1727
57710,21 months,
57684,21 months,1729
57241,25 months,1730
57592,21 months,
57293,25 months,1732
58347,25 months,
57537,25 months,
57534,25 months,
57059,30 months,1736
56911,30 months,1737
57552,25 months,
56937,30 months,1739
56995,30 months,
57062,30 months,1741
56984,25 months,
56876,30 months,
57157,30 months,1744
56985,30 months,
57139,30 months,
57613,25 months,
57177,30 months,1748
57436,30 months,1749
57222,30 months,
57666,25 months,1750
57092,30 months,1751
57050,30 months,
57707,25 months,
57559,25 months,1752
57111,30 months,
57595,25 months,
57597,25 months,1756
57670,25 months,1757
57569,25 months,
57742,25 months,1759
57374,30 months,
57159,30 months,
58049,25 months,1762
57658,25 months,
57274,30 months,
57839,30 months,1764
57709,25 months,
57336,30 months,
57710,25 months,
57340,30 months,1768
57227,30 months,
57337,30 months,1770
57642,25 months,1771
57240,30 months,1772
57293,30 months,1773
57735,25 months,1774
57885,25 months,1776
57097,30 months,
57725,25 months,1777
57369,30 months,
57741,25 months,1780
57823,25 months,
58190,21 months,1782
57902,25 months,
58372,25 months,1784
58310,21 months,
57480,30 months,1786
57613,30 months,1787
57464,30 months,
57534,30 months,
57919,25 months,1790
57908,25 months,1792
57559,30 months,1793
58406,21 months,
57462,25 months,
58860,21 months,1795
58286,21 months,1796
58012,25 months,1797
