SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
5.868424e+10,0.4954237,0.5698274,1,0.4965461,0.5571063,1,4.346924,1,0.4943013,0.5825485,1,4.46846,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868424e+10,0.5004954,0.5757858,1,0.5023991,0.5729157,1,4.389679,1,0.4985918,0.5786558,1,4.465424,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868425e+10,0.4920296,0.5656323,1,0.4980909,0.5493155,1,4.364014,1,0.4859684,0.5819492,1,4.443222,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868426e+10,0.5039079,0.5606747,1,0.4995111,0.5760263,1,4.367325,1,0.5083047,0.5453232,1,4.451935,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868427e+10,0.4942126,0.5691258,1,0.4983882,0.5548125,1,4.371124,1,0.490037,0.583439,1,4.481171,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868428e+10,0.506536,0.5386774,1,0.5091112,0.548257,1,4.362015,1,0.5039608,0.5290978,1,4.465134,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868428e+10,0.4869223,0.5808309,1,0.485923,0.5753431,1,4.402664,1,0.4879216,0.5863188,1,4.465164,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868429e+10,0.4945515,0.5766355,1,0.4985961,0.5679597,1,4.374252,1,0.4905069,0.5853114,1,4.494583,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.86843e+10,0.497348,0.5598177,1,0.5006744,0.5742685,1,4.364639,1,0.4940217,0.5453668,1,4.437592,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868431e+10,0.4959136,0.5601956,1,0.5017762,0.5510709,1,4.348831,1,0.490051,0.5693201,1,4.516632,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868432e+10,0.5042631,0.5501525,1,0.5061321,0.5539371,1,4.399643,1,0.5023941,0.5463679,1,4.450043,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
5.868433e+10,0.4940385,0.5735908,1,0.5016792,0.5785738,1,4.397629,1,0.4863978,0.5686078,1,4.483154,1,006,2017-02-25,m,2019-09-14_10-20,cat,1,1,30,unrelated,8,prime,maduixa,center
