"test_language","word","freq_counts","n","freq_per_million","freq"
"Spanish","abuela",2,4578124,0.43686016368276614,2.640342444156728
"Spanish","abuelo",1,4578124,0.21843008184138307,2.3393124484927466
"Spanish","abélla",1,4578124,0.21843008184138307,2.3393124484927466
"Spanish","ahora",10,4578124,2.1843008184138304,3.3393124484927466
"Catalan","aigua",103,916359,112.40136234816268,5.050771575082721
"Catalan","aixeta",1,916359,1.0912753626035212,3.0379343503775487
"Catalan","amanida",7,916359,7.638927538224648,3.8830323903918056
"Catalan","ampolla",3,916359,3.2738260878105634,3.5150556050972113
"Spanish","ampolla",2,4578124,0.43686016368276614,2.640342444156728
"Catalan","anec",10,916359,10.91275362603521,4.037934350377549
"English","apple",3505,1346848,2602.3723538216636,6.41536943659163
"Catalan","arbre",21,916359,22.91678261467394,4.360153645111468
"Spanish","arbre",3,4578124,0.6552902455241492,2.816433703212409
"Catalan","avio",21,916359,22.91678261467394,4.360153645111468
"English","baa baa black sheep",1,1346848,0.7424742806909169,2.8706814142889523
"English","baby's spoon",3,1346848,2.2274228420727504,3.3478026690086145
"English","ball",7802,1346848,5792.784337950534,6.762887360264725
"Spanish","ball",8,4578124,1.7474406547310646,3.2424024354846903
"English","balloon",5552,1346848,4122.217206395971,6.615130871735751
"Catalan","barco",5,916359,5.456376813017605,3.7369043547135674
"Spanish","barco",746,4578124,162.94884105367177,5.212051275965415
"Catalan","barret",14,916359,15.277855076449296,4.184062386055787
"English","barret",10,1346848,7.424742806909169,3.8706814142889523
"English","baseball",1,1346848,0.7424742806909169,2.8706814142889523
"Spanish","baño",3,4578124,0.6552902455241492,2.816433703212409
"Spanish","benjamón",1,4578124,0.21843008184138307,2.3393124484927466
"English","bert",1,1346848,0.7424742806909169,2.8706814142889523
"Catalan","bici",16,916359,17.46040580165634,4.242054333033474
"Spanish","bici",58,4578124,12.668944746800218,4.1027404420556834
"English","bike",1495,1346848,1109.9990496329208,6.045322606949401
"English","bird",2502,1346848,1857.670650288674,6.268968719646353
"English","biscuit",557,1346848,413.5581743448407,5.616536609462681
"Spanish","blanco",2,4578124,0.43686016368276614,2.640342444156728
"English","boat",2908,1346848,2159.1152082491863,6.3342758164759525
"Catalan","boca",40,916359,43.65101450414084,4.639994341705512
"Spanish","boca",244,4578124,53.29693996929746,4.726702274831476
"Spanish","bocadillo",37,4578124,8.081913028131174,3.9075141725597415
"Spanish","bola",1,4578124,0.21843008184138307,2.3393124484927466
"Catalan","bolet",3,916359,3.2738260878105634,3.5150556050972113
"Spanish","boli",31,4578124,6.771332537082875,3.830674142327019
"English","book",7376,1346848,5476.490294376203,6.738502322334526
"Spanish","botella",91,4578124,19.877137447565858,4.29835384081384
"Catalan","boto",2,916359,2.1825507252070424,3.33896434604153
"English","boto",1,1346848,0.7424742806909169,2.8706814142889523
"Spanish","boto",8,4578124,1.7474406547310646,3.2424024354846903
"Spanish","boton",2,4578124,0.43686016368276614,2.640342444156728
"English","bottle",2088,1346848,1550.2862980826344,6.190411908619177
"Spanish","bottle",3,4578124,0.6552902455241492,2.816433703212409
"Spanish","botó",15,4578124,3.276451227620746,3.515403707548428
"Spanish","botón",69,4578124,15.07167564705543,4.178161539230002
"English","bowl",1316,1346848,977.0961533892466,5.989937303566888
"Spanish","bowl",5,4578124,1.0921504092069152,3.0382824528287653
"English","box",3905,1346848,2899.36206609803,6.462302452502271
"Spanish","brazo",236,4578124,51.549499314566404,4.712224451462853
"English","bread",1630,1346848,1210.2330775261944,6.08286901869291
"English","brush",1591,1346848,1181.2765805792487,6.072351593935534
"English","bucket",800,1346848,593.9794245527335,5.773771401280896
"Spanish","bueno",2,4578124,0.43686016368276614,2.640342444156728
"Spanish","buho",153,4578124,33.41980252173161,4.524003879310346
"English","bunny",3586,1346848,2662.512770557628,6.425291699515116
"Spanish","bunny",5,4578124,1.0921504092069152,3.0382824528287653
