"language","gloss","freq_counts"
"spa","abuela",2
"spa","abuelo",1
"spa","abélla",1
"spa","ahora",10
"cat","aigua",103
"cat","aixeta",1
"cat","amanida",7
"cat","ampolla",3
"spa","ampolla",2
"cat","anec",10
"cat","arbre",21
"spa","arbre",3
"cat","avio",21
"spa","ball",8
"cat","barco",5
"spa","barco",746
"cat","barret",14
"spa","baño",3
"spa","benjamón",1
"cat","bici",16
"spa","bici",58
"spa","blanco",2
"cat","boca",40
"spa","boca",244
"spa","bocadillo",37
"spa","bola",1
"cat","bolet",3
"spa","boli",31
"spa","botella",91
"cat","boto",2
"spa","boto",8
"spa","boton",2
"spa","bottle",3
"spa","botó",15
"spa","botón",69
"spa","bowl",5
"spa","brazo",236
"spa","bueno",2
"spa","buho",153
"spa","bunny",5
"cat","burro",8
"spa","burro",83
"spa","búho",42
"cat","caballo",1
"spa","caballo",669
"cat","cadira",19
"cat","caixa",4
"spa","caja",267
"spa","calcetín",14
"cat","cama",9
"spa","cama",756
"cat","camio",3
"spa","camio",2
"spa","camiseta",89
"spa","caracol",70
"spa","carlos",1
"cat","casa",70
"spa","casa",2473
"spa","casá",3
"spa","cebra",15
"spa","cepillo",45
"spa","cerdo",42
"spa","cesta",40
"spa","chair",1
"spa","cheese",2
"spa","chicken",1
"spa","chips",1
"spa","chocolate",151
"spa","cielo",120
"cat","claus",4
"spa","coche",995
"spa","cole",1
"cat","corona",4
"spa","corona",13
"cat","cotxe",94
"spa","cotxe",2
"spa","crema",1
"spa","cuadro",2
"spa","cuando",1
"spa","cuatro",4
"spa","cubo",46
"cat","cuc",17
"spa","cuchara",80
"spa","cuento",3
"spa","cumpleaños",1
"spa","dan",1
"spa","duele",1
"spa","enla",1
"cat","finestra",4
"spa","fish",1
"cat","flor",4
"spa","flor",128
"spa","flower",1
"spa","fonso",1
"cat","formatge",4
"cat","formiga",1
"cat","forquilla",4
"spa","frog",24
"cat","fulla",4
"spa","gafas",59
"cat","galeta",2
"cat","galleda",1
"spa","galleta",47
"cat","gallina",9
"spa","gallina",63
"cat","gat",16
"spa","gato",807
"spa","gató",1
"spa","globo",295
"cat","globus",8
"cat","gorro",9
"spa","gorro",280
"cat","gos",56
"spa","gos",4
"cat","got",14
"spa","got",1
"cat","granota",2
"spa","grifo",4
"spa","guitarra",42
"spa","gusano",25
"spa","hala",1
"spa","hoja",107
"spa","hormiga",18
"spa","jamón",1
"spa","la",2
"spa","ladrillo",10
"cat","lapiz",3
"spa","lapiz",13
"spa","lasdos",1
"cat","leche",4
"spa","leche",456
"spa","lengua",70
"spa","leon",12
"spa","leòn",11
"spa","león",144
"spa","libro",131
"spa","libró",1
"spa","loro",40
"spa","luna",181
"spa","lápiz",103
"cat","ma",64
"spa","ma",237
"spa","macarrón",3
"spa","malo",15
"spa","mano",442
"spa","manzana",112
"spa","mar",2
"spa","mariposa",51
"spa","martillo",63
"spa","mañó",1
"spa","mesa",463
"cat","mico",2
"spa","mico",4
"cat","mirall",3
"cat","mitjo",2
"spa","mon",8
"spa","moneda",18
"spa","monkey",2
"spa","mono",152
"cat","moto",6
"spa","moto",171
"cat","mouse",4
"spa","mouse",6
"spa","moño",5
"spa","muneca",1
"cat","mussol",3
"spa","muñeca",313
"spa","má",26
"spa","más",256
"spa","móno",1
"spa","nemo",1
"spa","nose",4
"cat","ocell",8
"spa","ojo",259
"spa","ola",35
"spa","ombligo",176
"spa","oreja",38
"cat","orella",5
"cat","osito",1
"spa","osito",123
"cat","osset",14
"spa","oveja",173
"cat","ovella",1
"cat","pa",45
"spa","pa",426
"spa","pajaro",4
"spa","pajáro",1
"spa","pan",415
"spa","panal",68
"cat","pantalon",1
"spa","pantalón",80
"cat","papallona",4
"spa","papá",2
"spa","para",4
"spa","pastel",107
"cat","patata",9
"spa","patata",57
"spa","patio",1
"cat","pato",3
"spa","pato",295
"spa","pató",3
"spa","payaso",2
"spa","pañal",23
"spa","peas",1
"cat","peix",36
"cat","pelota",2
"spa","pelota",530
"spa","pencil",1
"spa","peras",1
"cat","pernil",5
"spa","perro",3723
"spa","pez",177
"spa","pie",308
"spa","pierna",94
"spa","pies",1
"spa","pieza",6
"spa","pig",1
"cat","pilota",62
"spa","pilota",3
"spa","pingüino",16
"spa","pié",5
"spa","plane",1
"spa","planta",38
"cat","platan",12
"cat","platano",8
"spa","platano",4
"spa","plato",138
"spa","platáno",3
"spa","plató",1
"spa","pluma",197
"spa","plàtano",1
"spa","plátano",108
"cat","poma",27
"spa","poma",10
"cat","porta",56
"spa","porta",9
"spa","puerta",589
"spa","pá",5
"spa","pájaro",297
"spa","páto",6
"spa","péz",1
"spa","póma",5
"spa","quema",1
"spa","queso",92
"spa","quéso",2
"spa","rato",1
"spa","rojo",2
"spa","roto",5
"spa","salta",1
"spa","sandwich",20
"spa","star",4
"spa","sándwich",32
"spa","sún",1
"spa","table",1
"cat","tambor",2
"spa","tambor",195
"cat","tele",19
"spa","tele",114
"spa","tenedor",32
"spa","tenedór",1
"cat","tigre",13
"spa","tigre",52
"spa","tijeras",24
"cat","tobogan",5
"spa","tobogan",3
"spa","tobogán",294
"spa","todo",2
"spa","toma",7
"spa","tomate",172
"cat","toro",2
"spa","toro",116
"spa","tree",9
"cat","tren",14
"spa","tren",167
"spa","téle",2
"spa","tómate",1
"cat","ull",3
"cat","ulleres",2
"spa","va",1
"cat","vaca",23
"spa","vaca",519
"cat","vaixell",1
"spa","vale",1
"spa","vamos",1
"spa","vaso",184
"spa","ventana",506
"spa","ya",1
"spa","yano",1
"spa","zanahoria",82
"spa","zapato",187
"spa","zapatos",1
"spa","zumo",12
"spa","óla",1
