SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
1.457295e+11,0.4958307,0.4560823,1,0.4982154,0.4552447,1,2.783783,1,0.4934459,0.45692,1,2.704926,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457295e+11,0.497365,0.4606543,1,0.4970861,0.4623618,1,2.805466,1,0.4976439,0.4589469,1,2.689987,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.4969453,0.4483766,1,0.4988652,0.4440966,1,2.767471,1,0.4950253,0.4526566,1,2.692291,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.498848,0.453783,1,0.4987713,0.4505865,1,2.79306,1,0.4989247,0.4569796,1,2.673431,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.4990531,0.4591729,1,0.5002634,0.4629411,1,2.799286,1,0.4978427,0.4554048,1,2.667496,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.5010679,0.4580729,1,0.5050803,0.4537246,1,2.800522,1,0.4970555,0.4624212,1,2.701111,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.4982471,0.4527339,1,0.5010865,0.4421782,1,2.774841,1,0.4954078,0.4632897,1,2.702835,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.4973181,0.4635945,1,0.5007129,0.4604765,1,2.812164,1,0.4939232,0.4667125,1,2.700455,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.4969934,0.4617665,1,0.5008408,0.4570314,1,2.778946,1,0.4931461,0.4665015,1,2.713058,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.5009965,0.4672645,1,0.5068124,0.4555076,1,2.798096,1,0.4951805,0.4790213,1,2.732773,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.4983222,0.4598107,1,0.5047686,0.461074,1,2.811722,1,0.4918759,0.4585475,1,2.670975,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.497814,0.4593713,1,0.5054064,0.451907,1,2.785675,1,0.4902216,0.4668356,1,2.702728,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.4981734,0.4508304,1,0.5035632,0.4453368,1,2.793777,1,0.4927836,0.456324,1,2.690659,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457296e+11,0.5017195,0.4562764,1,0.5079015,0.4405212,1,2.760208,1,0.4955375,0.4720316,1,2.713898,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457297e+11,0.4942998,0.4636084,1,0.4993957,0.4662239,1,2.795334,1,0.4892039,0.4609929,1,2.693192,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457297e+11,0.4991196,0.4617664,1,0.5027547,0.4476728,1,2.768066,1,0.4954844,0.47586,1,2.720963,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457297e+11,0.4976223,0.4649889,1,0.5012154,0.4756076,1,2.808365,1,0.4940293,0.4543701,1,2.679611,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457297e+11,0.4971211,0.4696972,1,0.5023406,0.4732058,1,2.807465,1,0.4919016,0.4661887,1,2.717102,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457297e+11,0.5004788,0.4603056,1,0.501379,0.4586399,1,2.770691,1,0.4995786,0.4619712,1,2.693848,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
1.457297e+11,0.5003498,0.4633636,1,0.5070405,0.4749786,1,2.817001,1,0.493659,0.4517486,1,2.680099,1,007,2017-04-26,f,2019-09-21_10-13,cat,2,1,11,cognate,5,baseline,ampolla,center
