SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,dateBirth,sex,dateTest,language,list,trial,trialID,trialType,getter,phase,stimulus,locationTarget
5.572822e+11,0.4975719,0.4771173,1,0.4995401,0.4536676,1,3.049026,1,0.4956037,0.500567,1,3.182343,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4950449,0.4732205,1,0.4961284,0.4485953,1,2.99498,1,0.4939614,0.4978456,1,3.157501,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4983165,0.4769088,1,0.5048388,0.458043,1,3.006012,1,0.4917943,0.4957746,1,3.1548,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4949633,0.4899366,1,0.4994588,0.4676352,1,3.025391,1,0.4904679,0.5122381,1,3.202805,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4975896,0.4577708,1,0.5024765,0.4012812,1,2.876373,1,0.4927027,0.5142604,1,3.200134,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.5016382,0.4883128,1,0.5088794,0.4726131,1,3.078949,1,0.494397,0.5040126,1,3.116531,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4992171,0.4754484,1,0.5070662,0.460244,1,3.016342,1,0.4913679,0.4906528,1,3.115234,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4980698,0.4760696,1,0.5043376,0.4375742,1,2.99086,1,0.491802,0.5145651,1,3.210739,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4986837,0.4602978,1,0.5043148,0.4369488,1,2.980865,1,0.4930526,0.4836469,1,3.117798,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
5.572822e+11,0.4952825,0.4960189,1,0.5001196,0.483429,1,3.060226,1,0.4904454,0.5086089,1,3.156158,1,014,2017-04-06,m,2019-10-04_19-28,cat,1,1,28,cognate,5,baseline,pilota,center
