DeviceTimeStamp,SystemTimeStamp,l_1,l_2,lPointUserCoord_1,lPointUserCoord_2,lPointUserCoord_3,lV,lPupil,lPupilV,lOriginUserCoord_1,lOriginUserCoord_2,lOriginUserCoord_3,lOriginTrackboxCoord_1,lOriginTrackboxCoord_2,lOriginTrackboxCoord_3,lOriginV,r_1,r_2,rPointUserCoord_1,rPointUserCoord_2,rPointUserCoord_3,rV,rPupil,rPupilV,rOriginUserCoord_1,rOriginUserCoord_2,rOriginUserCoord_3,rOriginTrackboxCoord_1,rOriginTrackboxCoord_2,rOriginTrackboxCoord_3,rOriginV,Participant,TrialNum,Trial,TargetLocation,Phase
5400903724,9615402713213,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5400920390,9615402729897,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5400937057,9615402746591,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5400953724,9615402763260,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5400970390,9615402779928,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5400987057,9615402796597,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401003724,9615402813258,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401020390,9615402829914,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401037056,9615402846569,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401053722,9615402863231,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401070388,9615402879897,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401087056,9615402896565,0.8950641,0.09365927,208.5939,263.7557,95.99913,1,2.982498,1,9.10996,-29.69284,681.8953,0.4714228,0.4975033,0.6667405,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401103722,9615402913235,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401120388,9615402929911,0.8938541,0.09285162,207.955,263.9811,96.08115,1,2.977844,1,9.011856,-29.18971,680.4733,0.4716524,0.4958428,0.6619896,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401137055,9615402946588,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401153721,9615402963259,0.8934921,0.09257442,207.7639,264.0585,96.1093,1,2.973053,1,8.952646,-28.74048,679.1571,0.4717801,0.4943548,0.6575948,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401170388,9615402979927,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401187055,9615402996595,0.8937424,0.09345569,207.896,263.8126,96.01984,1,2.95845,1,8.892411,-28.38175,678.0762,0.4719166,0.4931629,0.6539856,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401203721,9615403013258,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401220388,9615403029923,0.8934548,0.09232776,207.7441,264.1274,96.1344,1,2.948868,1,8.796785,-28.10783,676.7331,0.4721417,0.4922549,0.6495026,1,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401237055,9615403046585,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,157,1,20,globus.wav,Getter
5401253721,9615403063251,0.8938981,0.097701,207.9782,262.6277,95.58858,1,2.942764,1,8.655211,-27.91378,675.3533,0.4724906,0.4916132,0.6448963,1,0.9000441,0.09586468,211.2233,263.1403,95.77507,1,2.967773,1,59.18486,-24.85395,672.1503,0.3345479,0.4808092,0.6424831,1,157,1,20,globus.wav,Getter
5401270388,9615403079919,0.8911709,0.09536505,206.5383,263.2797,95.82584,1,2.934265,1,8.57464,-27.85738,674.6835,0.4726923,0.4914284,0.6426599,1,0.8958397,0.0959065,209.0033,263.1286,95.77083,1,2.969208,1,59.11906,-24.78429,671.6677,0.3346384,0.4805696,0.6408622,1,157,1,20,globus.wav,Getter
5401287055,9615403096586,0.8918523,0.09621957,206.898,263.0412,95.73906,1,2.928314,1,8.473459,-27.84385,674.0529,0.4729511,0.491388,0.6405538,1,0.8993077,0.09787293,210.8345,262.5798,95.57112,1,2.966217,1,59.00435,-24.7335,670.9828,0.3348249,0.4803923,0.6385553,1,157,1,20,globus.wav,Getter
5401303721,9615403113252,0.8907635,0.09764954,206.3231,262.6421,95.5938,1,2.922501,1,8.361231,-27.823,673.3687,0.4732389,0.4913232,0.6382688,1,0.8976997,0.09200848,209.9854,264.2165,96.16678,1,2.966583,1,58.89789,-24.69954,670.3611,0.3350009,0.4802723,0.6364605,1,157,1,20,globus.wav,Getter
5401320388,9615403129918,0.8897009,0.09636792,205.7621,262.9998,95.72398,1,2.922409,1,8.237601,-27.82774,672.8158,0.4735614,0.4913441,0.6364211,1,0.8943936,0.0978498,208.2398,262.5862,95.57338,1,2.965942,1,58.77318,-24.65608,669.7317,0.3352257,0.4801199,0.6343351,1,157,1,20,globus.wav,Getter
5401337055,9615403146584,0.8826549,0.1043986,202.0418,260.7585,94.9082,1,2.927948,1,8.05767,-27.81453,672.208,0.4740364,0.4913051,0.634388,1,0.8866041,0.100994,204.127,261.7087,95.25406,1,2.970703,1,58.59266,-24.61677,669.0574,0.3355958,0.4799815,0.6320447,1,157,1,20,globus.wav,Getter
5401353721,9615403163250,0.673774,0.2821434,91.75269,211.152,76.85297,1,2.951843,1,7.398023,-28.0053,671.5328,0.4758169,0.4919621,0.6321142,1,0.7114175,0.2610524,111.6284,217.0383,78.99535,1,2.970444,1,57.95311,-24.72794,668.1014,0.3371747,0.4803568,0.6286883,1,157,1,20,globus.wav,Getter
5401370388,9615403179918,0.567085,0.4275275,35.42092,170.577,62.08488,1,2.919479,1,6.746468,-28.11951,671.0596,0.4775827,0.492359,0.6305158,1,0.5805625,0.4147327,42.53704,174.1479,63.38455,1,3.008301,1,57.22077,-24.91055,667.0182,0.3389884,0.4809766,0.6248847,1,157,1,20,globus.wav,Getter
5401387055,9615403196585,0.4958413,0.4698211,-2.195779,158.7733,57.7887,1,2.906418,1,6.344017,-28.2008,670.5551,0.4786703,0.4926427,0.6288218,1,0.5029463,0.45415,1.55565,163.1469,59.38056,1,3.008041,1,56.78827,-25.0183,666.321,0.3400513,0.4813429,0.6224485,1,157,1,20,globus.wav,Getter
5401403721,9615403213231,0.506745,0.4727936,3.561358,157.9437,57.48669,1,2.90509,1,6.14777,-28.31182,670.0744,0.4791962,0.4930257,0.6272148,1,0.5175443,0.4637079,9.263423,160.4794,58.40968,1,2.988052,1,56.62275,-25.06055,665.6351,0.3403824,0.4814835,0.6201239,1,157,1,20,globus.wav,Getter
5401420388,9615403229866,0.5049124,0.4743037,2.593787,157.5223,57.33332,1,2.913269,1,5.942152,-28.46312,669.6266,0.4797486,0.4935458,0.6257176,1,0.5069656,0.4663542,3.677876,159.7409,58.14082,1,3.005051,1,56.44163,-25.1677,665.1987,0.3408019,0.4818484,0.6186237,1,157,1,20,globus.wav,Getter
5401437055,9615403246499,0.5091458,0.4712203,4.828989,158.3828,57.64648,1,2.919601,1,5.73441,-28.61206,669.1415,0.4803067,0.494059,0.6240963,1,0.5105808,0.4567009,5.586644,162.435,59.12141,1,3.009308,1,56.23513,-25.29877,664.5411,0.3412516,0.4822944,0.6163818,1,157,1,20,globus.wav,Getter
5401453721,9615403263152,0.5090137,0.4702032,4.759198,158.6667,57.74982,1,2.924362,1,5.537602,-28.80542,668.8102,0.4808377,0.4947222,0.6229887,1,0.511822,0.4625883,6.242017,160.7919,58.52339,1,3.015457,1,56.0568,-25.39522,664.3699,0.3417121,0.4826254,0.6157637,1,157,1,20,globus.wav,Getter
5401470388,9615403279817,0.5094339,0.4711469,4.981129,158.4033,57.65405,1,2.939407,1,5.35079,-28.99064,668.3493,0.4813398,0.4953599,0.6214498,1,0.5120244,0.464292,6.348871,160.3164,58.35032,1,3.027603,1,55.8559,-25.5226,663.8959,0.3421805,0.483061,0.6141337,1,157,1,20,globus.wav,Getter
5401487055,9615403296481,0.50991,0.473422,5.232505,157.7684,57.42285,1,2.943619,1,5.180451,-29.18448,667.942,0.4817982,0.4960269,0.6200903,1,0.5124825,0.4632574,6.59081,160.6052,58.4554,1,3.033478,1,55.66713,-25.66111,663.3484,0.3426027,0.4835349,0.612263,1,157,1,20,globus.wav,Getter
5401503721,9615403313157,0.5096614,0.4710109,5.101218,158.4413,57.6678,1,2.954483,1,5.056802,-29.38694,667.687,0.4821313,0.4967214,0.6192401,1,0.5108343,0.4606219,5.720528,161.3407,58.72314,1,3.049561,1,55.54277,-25.83003,662.9626,0.342876,0.484114,0.6109471,1,157,1,20,globus.wav,Getter
5401520388,9615403329841,0.5106644,0.471323,5.6308,158.3542,57.63614,1,2.969864,1,4.994669,-29.55774,667.4851,0.4822972,0.4973072,0.6185681,1,0.510841,0.4618718,5.724005,160.9919,58.59621,1,3.057312,1,55.46285,-25.94606,662.5645,0.3430248,0.4845117,0.6096023,1,157,1,20,globus.wav,Getter
5401537055,9615403346528,0.5096773,0.4726298,5.109609,157.9895,57.50339,1,2.978119,1,4.999076,-29.69888,667.2104,0.4822799,0.4977926,0.617655,1,0.5087057,0.463313,4.596638,160.5897,58.44975,1,3.067871,1,55.43547,-26.03596,661.9222,0.3429849,0.4848188,0.6074609,1,157,1,20,globus.wav,Getter
