"language","gloss","freq_counts"
"eng","and",3
"eng","baa baa black sheep",1
"eng","baby's spoon",3
"eng","ball",7802
"eng","balloon",5552
"eng","baseball",1
"eng","bath",1927
"eng","bear",4806
"eng","bear's",3
"eng","bed",6525
"eng","beds",1
"eng","bee",1453
"eng","bert",1
"eng","bib",407
"eng","bike",1495
"eng","bin",777
"eng","bird",2503
"eng","biscuit",557
"eng","blind",1
"eng","blow your house",1
"eng","boat",2908
"eng","book",7376
"eng","boot",500
"eng","bottle",2088
"eng","bowl",1316
"eng","box",3905
"eng","bread",1636
"eng","bridge",1
"eng","brush",1591
"eng","bucket",800
"eng","bunny",3586
"eng","bus",4130
"eng","butterflies",1
"eng","butterfly",1287
"eng","cake",3373
"eng","car",13587
"eng","carl",1
"eng","cat",5685
"eng","chair",4763
"eng","changing",2
"eng","cheese",3171
"eng","chicken",2431
"eng","chips",1111
"eng","chocolate",2807
"eng","coat",954
"eng","cold",1
"eng","comb",509
"eng","cot",170
"eng","cow",3700
"eng","cup",3495
"eng","deer",1488
"eng","dog",17055
"eng","dog's",1
"eng","doll",1081
"eng","door",5477
"eng","duck",3268
"eng","eye",1776
"eng","fall",1
"eng","fireengine",3
"eng","fish",3915
"eng","flower",1518
"eng","foot",1365
"eng","football",1
"eng","fork",931
"eng","frog",11778
"eng","had",2
"eng","hand",3422
"eng","hard",1
"eng","hat",5159
"eng","helicopter",774
"eng","hen",268
"eng","hot",1
"eng","if",1
"eng","jacket",473
"eng","key",987
"eng","mask",215
"eng","milk",5624
"eng","monkey",2424
"eng","moon",1415
"eng","mouse",1900
"eng","mouth",2421
"eng","nappy",2
"eng","nose",3556
"eng","peas",606
"eng","pen",1096
"eng","pencil",1085
"eng","penguin",583
"eng","phone",1065
"eng","pick",1
"eng","pig",2651
"eng","plane",1212
"eng","plate",1753
"eng","potato",509
"eng","pup",91
"eng","put",3
"eng","red",1
"eng","sand",5
"eng","sandwich",1087
"eng","sheep",1577
"eng","ships",1
"eng","shoe",2355
"eng","sleep",3
"eng","slide",1711
"eng","slides",1
"eng","snail",372
"eng","sock",845
"eng","sofa",178
"eng","spoon",2051
"eng","star",1226
"eng","stuck",3
"eng","sun",1534
"eng","swing",1
"eng","table",3095
"eng","tank",1
"eng","teddy",1633
"eng","teeth",1840
"eng","there",4
"eng","those",1
"eng","three",5
"eng","tiger",1897
"eng","toe",551
"eng","tomato",653
"eng","toy",1
"eng","train",6467
"eng","tree",4346
"eng","trousers",379
"eng","truck",5442
"eng","trucks",1
