,55878,54960,54993,54912,54788,54875,58286_3,58136,57983_2,58761,57943_2,58308,57717,57670_3,57566_2,58109,58523,58128,58079,57983,58173,58096,57592_2,57709_3,57943,58551,58286,58406,57559_3,57902,58190,57097_3,57642_2,57340_2,57710_2,57709_2,57658_2,57159_3,57374_2,57670_2,57597_2,57595_2,57111_3,57559_2,57707_2,57436_3,57062_3,57059_3,58347_2,57592,57710,57709,57658,57670,57595,57222_2,57707,57165_2,57642,57559,57566
spa_botella,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,,1,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1
spa_globo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,1
spa_mono,,,1,1,1,1,,1,1,1,,1,1,1,1,,,1,,1,,,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,,1,,1,1,1,1
spa_coche,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spa_cama,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spa_zumo,,1,1,1,1,,1,1,1,,1,,1,1,1,,,,1,1,,1,1,1,,,,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,,1,1,1,1,1,,1,1,,,,1
spa_pato,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1
spa_cebra,,,1,,,,,,1,1,,,,,,,,,,1,,,1,1,,1,,,1,1,,1,1,,1,,1,,1,,,,1,1,,1,1,1,1,,1,,1,,,1,,,1,,
spa_cerdo,1,1,,1,1,1,1,,1,1,,,1,1,1,,1,,,1,,,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,,,1,1,,1,1,1,1
spa_oreja,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spa_mesa,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1
