test_language,stimulus,item,item_supp,xsampa,childes_lemma,wordbank_lemma
Catalan,arbre,cat_arbre,cat_arbre,aB4@,tree,tree
Catalan,ànec,cat_anec,cat_anec,an@k,duck,duck
Catalan,camió,cat_camio,cat_camio,k@mio,truck,truck
Catalan,finestra,cat_finestra,cat_finestra,finest4@,window,window
Catalan,vaca,cat_vaca,cat_vaca,bak@,cow,cow
Catalan,barret,cat_barret,cat_barret,b@rEt,hat,hat
Catalan,osset,cat_osset,cat_osset,uset,teddybear,teddybear
Catalan,claus,cat_clau,cat_clau,k5aw,key,key
Catalan,cotxe,cat_cotxe,cat_cotxe,kOtÍ¡S@,car,car
Catalan,cadira,cat_cadira,cat_cadira,k@Di4@,chair,chair
Catalan,vaixell,cat_vaixell,cat_vaixell,b@SeL,boat,boat
Catalan,ampolla,cat_ampolla,cat_ampolla,@mpoL@,bottle,bottle
Catalan,flor,cat_flor,cat_flor,f5O,flower,flower
Catalan,formatge,cat_formatge,cat_formatge,furmadZ@,cheese,cheese
Catalan,botó,cat_boto,cat_boto,buto,button,button
Catalan,ulleres,cat_ulleres,cat_ulleres,uLe4@s,glasses,glasses
Catalan,gat,cat_gat,cat_gat,gat,cat,cat
Catalan,gos,cat_gos,cat_gos,gos,dog,dog
Catalan,mico,cat_mono,cat_mono,miku,monkey,monkey
Catalan,pa,cat_pa,cat_pa,pa,bread,bread
Catalan,moto,cat_moto,cat_moto,motu,motorcycle,motorcycle
Catalan,mitjó,cat_mitjo,cat_mitjo,midZo,sock,sock
Catalan,avió,cat_avio,cat_avio,@Bio,airplane,airplane
Catalan,granota,cat_granota,cat_granota,g4@nOt@,frog,frog
Catalan,ovella,cat_ovella,cat_ovella,uBEL@,sheep,sheep
Catalan,ocell,cat_ocell,cat_ocell,useL,bird,bird
Catalan,peix,cat_peix1,cat_peix1,peS,fish,fish (animal)
Catalan,plàtan,cat_platan,cat_platan,p5at@n,plantain,plantain
Catalan,pilota,cat_pilota,cat_pilota,pi5Ot@,ball,ball
Catalan,poma,cat_poma,cat_poma,pom@,apple,apple
Catalan,guitarra,cat_guitarra,cat_guitarra,gitar@,guitar,guitar
Catalan,maduixa,cat_maduixa,cat_maduixa,m@DuS@,strawberry,strawberry
Catalan,aigua,cat_aigua1,cat_aigua1,ajGw@,water,water (beverage)
Catalan,amanida,cat_amanida,cat_amanida,@m@niD@,,
