"trial","test_language","version","list","trial_type","prime","target","distractor","audio","duration","target_location","prime_cdi","target_cdi","distractor_cdi","valid_trial","familiarity_prime","familiarity_target","familiarity_se_prime","familiarity_se_target","freq_prime","freq_target","semantic_category_prime","semantic_category_target","is_animate_prime","is_animate_target"
1,"Catalan","i",1,"Cognate","arbre","aigua","bolet","aigua.wav",1.16,"l","cat_arbre","cat_aigua1","cat_bolet",true,0.4411764705882353,0.8529411764705882,0.06021283237126247,0.04294875981766924,4.360153645111468,5.050771575082721,"Food and drink","Outside",false,false
2,"Catalan","i",1,"Non-cognate","ànec","amanida","berenar","amanida.wav",1.12,"r","cat_anec","cat_amanida","cat_berenar",true,0.36764705882352944,0.08823529411764706,0.05847104599738657,0.034396012719846096,,3.8830323903918056,"Food and drink","Animals",true,false
3,"Catalan","i",1,"Unrelated","camió","aixeta","ungla","aixeta.wav",1.14,"l","cat_camio","cat_aixeta","cat_ungla",true,0.36764705882352944,0.25,0.05847104599738657,0.05251050315105037,,3.0379343503775487,"Household items","Vehicles",false,false
4,"Catalan","i",1,"Unrelated","finestra","abella","papallona","abella-i.wav",1.13,"r","cat_finestra","cat_abella","cat_papallona",true,0.2647058823529412,0.29411764705882354,0.05350050552272051,0.05525508450751319,3.639994341705511,,"Animals","Outside",false,true
5,"Catalan","i",1,"Cognate","vaca","berenar","amanida","berenar.wav",1.15,"r","cat_vaca","cat_berenar","cat_amanida",true,0.5,0.4852941176470588,0.06063390625908324,0.0606076748469713,4.399662186395142,,"Games and rutines","Animals",true,false
6,"Catalan","i",1,"Non-cognate","barret","bici","porta","bici.wav",1.48,"l","cat_barret","cat_bici","cat_porta",true,0.3382352941176471,0.47058823529411764,0.05737290043970798,0.06052891240323841,4.184062386055787,4.242054333033474,"Vehicles","Clothes",false,false
7,"Catalan","i",1,"Unrelated","osset","boca","orella","boca.wav",1.23,"r","cat_osset","cat_boca","cat_orella",true,0.38235294117647056,0.5147058823529411,0.05893156169637058,0.060607674846971306,4.184062386055787,4.639994341705512,"Body parts","Toys",true,false
8,"Catalan","i",1,"Unrelated","claus","bolet","aigua","bolet.wav",1.45,"l","cat_clau","cat_bolet","cat_aigua1",true,0.39705882352941174,0.1323529411764706,0.05933493096110905,0.041094518050466565,3.639994341705511,3.5150556050972113,"Outside","Household items",false,false
9,"Catalan","i",1,"Cognate","cotxe","casa","moneda","casa.wav",1.14,"l","cat_cotxe","cat_casa","cat_moneda",true,0.5294117647058824,0.4852941176470588,0.06052891240323841,0.0606076748469713,5.011062203977247,4.883032390391806,"Outside","Vehicles",false,false
10,"Catalan","i",1,"Non-cognate","cadira","colom","mussol","colom.wav",1.48,"r","cat_cadira","cat_colom","cat_mussol",true,0.47058823529411764,0.36764705882352944,0.06052891240323841,0.05847104599738657,4.316687951330378,,"Animals","Household items",false,true
11,"Catalan","i",1,"Unrelated","vaixell","cuc","formiga","cuc.wav",1.31,"l","cat_vaixell","cat_cuc","cat_formiga",true,,0.2647058823529412,,0.05350050552272051,3.0379343503775487,4.268383271755823,"Animals","Vehicles",false,true
12,"Catalan","i",1,"Unrelated","ampolla","caixa","porc","caixa.wav",1.2,"r","cat_ampolla","cat_caixa","cat_porc",true,0.36764705882352944,0.39705882352941174,0.05847104599738657,0.05933493096110905,3.5150556050972113,3.639994341705511,"Toys","Household items",false,false
13,"Catalan","i",1,"Cognate","flor","pernil","galeta","pernil.wav",1.38,"l","cat_flor","cat_pernil","cat_galeta",true,0.4264705882352941,0.3382352941176471,0.059974679167611115,0.05737290043970798,3.639994341705511,3.7369043547135674,"Food and drink","Outside",false,false
14,"Catalan","i",1,"Non-cognate","formatge","formiga","cuc","formiga.wav",1.22,"l","cat_formatge","cat_formiga","cat_cuc",true,0.3382352941176471,0.36764705882352944,0.05737290043970798,0.05847104599738657,3.639994341705511,3.0379343503775487,"Animals","Food and drink",false,true
15,"Catalan","i",1,"Unrelated","botó","fulla","galleda","fulla-i.wav",1.33,"r","cat_boto","cat_fulla","cat_galleda",true,0.25,0.3088235294117647,0.05251050315105037,0.056026721184342244,,3.639994341705511,"Outside","Clothes",false,false
16,"Catalan","i",1,"Unrelated","ulleres","forquilla","got","forquilla-i.wav",1.31,"l","cat_ulleres","cat_forquilla","cat_got",true,0.3382352941176471,0.3088235294117647,0.05737290043970798,0.056026721184342244,3.33896434604153,3.639994341705511,"Household items","Clothes",false,false
17,"Catalan","i",1,"Cognate","gat","galeta","pernil","galeta.wav",1.07,"l","cat_gat","cat_galeta","cat_pernil",true,0.5,0.6029411764705882,0.06063390625908324,0.05933493096110905,4.242054333033474,3.33896434604153,"Food and drink","Animals",true,false
18,"Catalan","i",1,"Non-cognate","gos","got","forquilla","got.wav",1.25,"l","cat_gos","cat_got","cat_forquilla",true,0.5882352941176471,0.4117647058823529,0.05968231249363439,0.05968231249363439,4.786122377383749,4.184062386055787,"Household items","Animals",true,false
19,"Catalan","i",1,"Unrelated","mico","galleda","fulla","galleda-i.wav",1.1,"r","cat_mono","cat_galleda","cat_fulla",true,0.4852941176470588,0.20588235294117646,0.0606076748469713,0.04903402325525394,3.33896434604153,3.0379343503775487,"Household items","Animals",true,false
