trial,test_language,list,trial_type,prime,target,distractor,xsampa_prime,xsampa_target,xsampa_distractor,xsampa_t_prime,xsampa_t_target,xsampa_t_distractor,nphon_prime,nphon_target,nphon_distractor,freq_prime,freq_target,freq_distractor,lv_pp,lv_pt
1,Catalan,1,Cognate,arbre,aigua,bolet,aB4@,ajGw@,bu5Et,a4Bol,aGwa,seta,4,5,5,5.081055123509317,5.4247387201525585,NA,0.4,0.4
2,Catalan,1,Non-cognate,ànec,amanida,berenar,an@k,@m@niD@,b4@na,pato,ensalaDa,me4jenDa,4,7,5,4.957247449385189,NA,NA,0,0.1428571428571429
3,Catalan,1,Unrelated,camió,aixeta,ungla,k@mio,@SEt@,uNg5@,kamjon,g4ifo,uJas,5,5,5,5.178723938968551,2.619056660580492,3.0864180780109987,0.5,0
4,Catalan,1,Unrelated,finestra,abella,papallona,finest4@,@BEL@,p@p@Lon@,bentana,aBexa,ma4iposa,8,5,8,4.894598348981802,4.605231015822833,4.552543948429198,0.125,0.125
5,Catalan,1,Cognate,vaca,berenar,amanida,bak@,b4@na,@m@niD@,baka,me4jenDa,ensalaDa,4,5,7,5.011167125591806,NA,NA,0.75,0.19999999999999996
6,Catalan,1,Non-cognate,barret,bici,porta,b@rEt,bisi,pOrt@,somB4e4o,biTi,pwe4ta,5,4,5,5.15553092939812,4.008813220198329,5.1815081424535965,0,0.19999999999999996
7,Catalan,1,Unrelated,osset,boca,orella,uset,bok@,u4EL@,osito,boka,o4exas,4,4,5,3.0961779153001547,4.826960190966544,4.414241250262917,0.4,0
8,Catalan,1,Unrelated,claus,bolet,aigua,k5aw,bu5Et,ajGw@,LaBes,seta,aGwa,4,5,5,4.437282554194448,NA,5.4247387201525585,0,0.19999999999999996
9,Catalan,1,Cognate,cotxe,casa,moneda,kOtÍ¡S@,kaz@,munED@,kotSe,kasa,moneDas,7,4,6,5.576088976927431,5.43081035169611,3.2138174131669555,0.4285714285714286,0.2857142857142857
10,Catalan,1,Non-cognate,cadira,colom,mussol,k@Di4@,kulom,musO5,siLa,paloma,buo,6,5,5,5.120845983036402,2.857938749495629,4.734334251976394,0.16666666666666663,0.16666666666666663
11,Catalan,1,Unrelated,vaixell,cuc,formiga,b@SeL,kuk,fu4miG@,ba4ko,gusano,o4miGa,5,3,7,4.906559803711811,4.011167125591806,3.737431627686404,0.19999999999999996,0
12,Catalan,1,Unrelated,ampolla,caixa,porc,@mpoL@,kaS@,pOrk,boteLa,kaxa,Te4Do,6,4,4,4.762695895855035,5.03458643973813,4.8663751292579045,0.16666666666666663,0.16666666666666663
13,Catalan,1,Cognate,flor,pernil,galeta,f5O,p@rni5,g@5Et@,flo4,xamon,gaLeta,3,6,6,4.624237173084273,3.8477991181447493,4.925838985133565,0.25,0
14,Catalan,1,Non-cognate,formatge,formiga,cuc,furmadZ@,fu4miG@,kuk,keso,o4miGa,gusano,8,7,3,4.9441616435519,3.737431627686404,4.011167125591806,0,0.5
15,Catalan,1,Unrelated,botó,fulla,galleda,buto,fuL@,g@LED@,boton,oxa,kuBo,4,4,6,4.472754872356667,NA,4.453689266916584,0.6,0.25
